Provinsi,Kab Kota,Kecamatan,Desa,Tanggal,Waktu,Satelit,Confidence,Latitude,Longitude
Papua,MERAUKE,Kimaam,Teri,5/31/2023,11:53 WIB,NASA-NOAA20,High,-7.64527,138.83623
Papua,MERAUKE,Kimaam,Teri,6/1/2023,11:36 WIB,NASA-NOAA20,High,-7.87893,138.78485
Papua,MERAUKE,Tabonji,Iromoro,6/2/2023,11:17 WIB,NASA-NOAA20,High,-7.49654,138.58133
Papua,MERAUKE,Kimaam,Teri,6/10/2023,11:44 WIB,NASA-MODIS,High,-7.80962,138.74759
Papua,MERAUKE,Waan,Konorau,6/19/2023,10:57 WIB,NASA-NOAA20,High,-8.33222,138.21001
Papua,MERAUKE,Okaba,Wambi,7/1/2023,11:42 WIB,NASA-MODIS,High,-8.13812,139.28049
Papua,MERAUKE,Okaba,Wambi,7/2/2023,11:53 WIB,NASA-NOAA20,High,-8.09583,139.28401
Papua,MERAUKE,Tabonji,Suam,7/13/2023,11:46 WIB,NASA-NOAA20,High,-7.42801,138.67448
Papua,MERAUKE,Tabonji,Yamuka,7/15/2023,11:38 WIB,NASA-MODIS,High,-7.39724,138.60141
Papua,MERAUKE,Okaba,Alatep,7/15/2023,11:38 WIB,NASA-MODIS,High,-8.02115,139.83153
Papua,MERAUKE,Sota,Yanggandur,7/15/2023,11:38 WIB,NASA-MODIS,High,-8.5738,140.82932
Papua,MERAUKE,Tabonji,Bamol I,7/15/2023,11:38 WIB,NASA-MODIS,High,-7.44227,138.6787
Papua,MERAUKE,Tabonji,Suam,7/15/2023,11:10 WIB,NASA-NOAA20,High,-7.44522,138.68991
Papua,MERAUKE,Tabonji,Iromoro,7/16/2023,10:51 WIB,NASA-NOAA20,High,-7.49856,138.51181
Papua,MERAUKE,Sota,Yanggandur,7/17/2023,10:32 WIB,NASA-NOAA20,High,-8.54457,140.91081
Papua,MERAUKE,Tanah Miring,Isano Mbias,7/17/2023,11:23 WIB,NASA-MODIS,High,-8.30804,140.38161
Papua,MERAUKE,Waan,Kawe,7/20/2023,11:51 WIB,NASA-MODIS,High,-7.72707,138.08665
Papua,MERAUKE,Tabonji,Tabonji,7/20/2023,11:51 WIB,NASA-MODIS,High,-7.43683,138.78699
Papua,MERAUKE,Tubang,Welbuti,7/22/2023,11:36 WIB,NASA-MODIS,High,-7.72222,139.47061
Papua,MERAUKE,Okaba,Okaba,8/4/2023,11:36 WIB,NASA-NOAA20,High,-7.99593,139.70712
Papua,MERAUKE,Kimaam,Teri,8/4/2023,11:36 WIB,NASA-NOAA20,High,-7.69069,138.81918
