TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2024,24.9,32.1,28.2,82,8888,4.8,5,150,2,N
02-12-2024,24.7,32,27.6,90,0,1.4,6,20,2,N
03-12-2024,25.8,33.8,29.7,72,0.1,1.2,5,10,2,N
04-12-2024,25.1,31.9,28.4,85,0,6.2,5,340,2,N
05-12-2024,24.6,31.9,27.7,88,2.3,7.5,6,30,2,N
06-12-2024,25.3,33,28.1,86,0,4.3,5,10,2,N
07-12-2024,24.6,32.6,27.5,89,0.3,6.2,5,10,2,S
08-12-2024,25.3,33.4,28.4,82,2.1,1.5,4,280,2,N
09-12-2024,26.2,33.8,28.8,85,0,1.9,5,170,2,C
10-12-2024,26.4,34.8,29.7,79,0,2.5,5,360,1,C
11-12-2024,25.2,35.5,28,88,8888,4.7,3,210,2,W
12-12-2024,25.1,33.2,25.7,97,3.4,5.4,6,250,2,E
13-12-2024,24,33.6,28.2,87,28,3,4,20,1,C
14-12-2024,24,28.1,25.7,91,3.9,2.8,5,10,1,N
15-12-2024,23.3,33.3,28.1,83,8888,0,6,10,2,N
16-12-2024,24,34.1,28.3,80,1.2,6.6,4,30,1,W
17-12-2024,23.6,34,27.8,88,36.5,5.6,4,110,1,C
18-12-2024,23.8,34.8,28.4,84,8.5,5.6,3,30,1,C
19-12-2024,25,35.5,29.7,78,0,4.5,7,250,2,W
20-12-2024,24.8,35.6,29.6,77,0,6.2,4,240,1,N
21-12-2024,24.9,35.4,29.4,78,0,6,5,170,1,C
22-12-2024,24.8,30.3,26,95,0,5.8,9,260,1,C
23-12-2024,23.6,34.9,28.2,81,6.5,0.7,5,30,2,N
24-12-2024,24.4,33.6,28.4,83,0,4.3,5,10,2,C
25-12-2024,25.2,32.3,27.2,88,5.1,4.2,4,30,1,C
26-12-2024,24.4,32.4,26.4,91,17.8,0,5,10,1,C
27-12-2024,23.2,33.4,27.7,84,13.4,0.4,3,10,1,C
28-12-2024,24.4,30.4,27,88,0,4.9,3,360,1,S
29-12-2024,25.6,32.3,27.1,95,0,0,6,240,2,SE
30-12-2024,24,33.1,27.9,86,1.1,2.2,4,130,1,C
31-12-2024,24.6,32.1,27.5,82,0,6,5,340,2,N
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
