TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2025,24.4,33.3,27.3,84,0.3,6.1,4,310,2,SW
02-01-2025,25.2,30.8,26.7,90,3.1,4.3,5,280,1,C
03-01-2025,22.5,33.4,27.2,80,0.2,1,4,350,2,W
04-01-2025,24.2,33.4,27,89,0,6.1,6,250,2,W
05-01-2025,23.9,31.4,26.2,88,7.9,4.6,5,80,1,W
06-01-2025,23.3,33.2,27.8,86,9.4,3.3,4,10,1,N
07-01-2025,24.3,33.7,28.4,79,0,6.8,3,360,1,N
08-01-2025,25.2,33.4,28.1,86,0,8,5,260,1,C
09-01-2025,23,32.9,26.6,87,48,5.1,3,160,1,E
10-01-2025,24.4,33.8,27.9,87,0.1,5,4,360,2,W
11-01-2025,25,31.9,27.6,78,0,5.8,3,300,1,NW
12-01-2025,24,31.8,27.8,85,0,3.4,4,160,2,SW
13-01-2025,25.1,30,26.7,88,3.3,8,3,20,2,N
14-01-2025,24.6,33.1,28.1,86,7.7,0.6,3,10,1,N
15-01-2025,24.7,31.9,27.3,87,0,5.3,4,340,2,N
16-01-2025,24.7,32.7,27.6,86,4.4,8,7,360,2,N
17-01-2025,24.9,31.1,27,84,1.9,7.2,4,270,2,NW
18-01-2025,25.2,31,27.5,86,0.1,4.5,4,340,1,C
19-01-2025,24.4,32.8,26.8,87,7.7,0.8,4,10,1,C
20-01-2025,24.7,33.3,27.1,91,4.5,2.8,10,30,1,C
21-01-2025,24.4,32.8,27.4,84,3,5.2,3,130,2,SE
22-01-2025,24.5,30,25.8,95,0.2,4.4,3,250,1,C
23-01-2025,23.4,31.9,26.1,90,31.2,0.9,6,10,1,E
24-01-2025,24.4,31.7,25.9,96,4.1,5,4,20,1,C
25-01-2025,24.2,31.9,26.3,86,23.5,4.2,4,30,1,E
26-01-2025,24.4,31.8,27,88,2.4,4,4,130,1,C
27-01-2025,24.3,32,26.4,87,0,0,3,10,1,E
28-01-2025,24.3,32.8,26.9,91,2.1,4.2,3,30,1,C
29-01-2025,24.3,33.1,27.3,85,8888,3.8,4,180,1,W
30-01-2025,24.6,32,28.1,84,0.6,6.3,5,360,2,C
31-01-2025,24.7,31.4,27.3,83,8888,8,3,350,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
