01-06-2024,24.5,29.5,27,87,6.9,3.7,3,140,1,C 
02-06-2024,24.7,33,28.2,81,0.1,0.8,5,190,2,C 
03-06-2024,24,32.6,27.5,86,0,9.7,5,210,1,C 
04-06-2024,25.2,31.5,26.1,91,5.5,4.4,5,360,1,C 
05-06-2024,24.2,33.3,28.3,81,24.2,0,4,140,1,SE
06-06-2024,24.7,33.2,28.4,82,0,8.5,4,170,2,S 
07-06-2024,24.9,31.6,27.2,86,0,8.5,5,160,1,C 
08-06-2024,24.4,32.5,27.9,82,0,2.2,4,160,2,C 
09-06-2024,24.5,32.9,28.2,81,0,7.5,4,210,2,S 
10-06-2024,25.1,31.9,26.8,85,0.5,7.8,5,80,2,C 
11-06-2024,24.2,32.8,27.1,84,0.1,4.1,4,200,2,W 
12-06-2024,24.7,33.2,28.2,81,0.2,5.3,4,230,1,C 
13-06-2024,25.1,29.2,26.1,91,0.2,6.9,4,150,2,SE
14-06-2024,23.7,31.1,26.4,86,63,0.3,5,210,2,C 
15-06-2024,23.5,32.2,27.4,81,8888,3.8,6,150,2,C 
16-06-2024,24.8,32.6,27.8,81,8888,3.1,5,200,2,S 
17-06-2024,24.4,32.3,27.6,83,0,6.6,3,170,1,S 
18-06-2024,24.3,32.2,27.7,82,8888,4.3,4,150,2,C 
19-06-2024,24,27.8,25.5,96,34.5,9.1,3,150,1,C 
20-06-2024,24.4,30.4,26.4,87,19,0,3,190,1,C 
21-06-2024,23.6,31.1,27.4,80,0,0.6,5,140,2,SE
22-06-2024,24.8,30.2,26.2,86,0,0.6,5,140,2,SE
23-06-2024,23.8,30.6,26.2,92,0.2,0,5,160,1,C 
24-06-2024,24.6,32.2,26.7,88,9.6,0.5,4,190,2,E 
25-06-2024,24.1,33.8,28.1,82,8888,2.7,5,160,2,S 
26-06-2024,24.2,28.1,24.2,96,1.6,7.1,8,230,2,C 
27-06-2024,22.9,30.6,27,84,50.1,0.1,4,140,1,C 
28-06-2024,24.3,32.2,26.9,85,0.3,1.8,4,200,1,C 
29-06-2024,23.5,32.7,26.6,89,2.5,5.4,5,180,1,C 
30-06-2024,23.9,32.9,27.7,83,5.3,5.7,3,220,1,C 
01-07-2024,24.2,32.8,27.2,90,1.4,5.2,4,160,1,C 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
