Unnamed: 0,ID WMO,:  97048,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Djalaluddin,,,,,,,,
,LINTANG,:  0.63850,,,,,,,,
,BUJUR,:  122.85250,,,,,,,,
,ELEVASI,:  33 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2025,24.7,31.4,27,85,0.8,0.8,6,280,2,N
02-03-2025,24.8,33.1,27.6,81,0.3,3.1,4,70,2,SW
03-03-2025,24.9,33,28.3,81,0,8,5,215,1,W
04-03-2025,25.1,32.6,26.8,88,0,5.5,3,350,1,S
05-03-2025,25.1,33,27.5,85,11.6,5.9,3,203,1,SW
06-03-2025,24.9,31.8,27.1,85,33.8,4.6,3,340,1,N
07-03-2025,24.8,31.4,27.2,87,0,2.9,4,190,2,NW
08-03-2025,25,30.1,25.8,91,3.8,3.8,3,93,1,E
09-03-2025,24.7,29.7,26.4,87,10.9,0.8,3,340,1,N
10-03-2025,23.7,32.4,27.1,84,0,3.8,4,170,1,E
11-03-2025,25.1,30.6,25.6,92,0.4,6.1,4,280,1,W
12-03-2025,24.5,32.7,27.8,79,8.9,6.1,4,250,2,SE
13-03-2025,24.9,31.1,26.5,92,0,8,3,303,1,W
14-03-2025,24.8,30.4,26.8,85,16.5,3.1,4,340,2,N
15-03-2025,24.2,31,27.1,82,0,2.3,4,286,2,SW
16-03-2025,24.8,31.2,26.5,90,23.7,7.7,5,202,2,SE
17-03-2025,24.5,30,27.1,85,9.6,4.4,3,260,1,W
18-03-2025,24.6,32.1,27.7,81,0.2,3.8,9,360,2,N
19-03-2025,24.9,31.1,27.4,84,0,2.3,4,20,1,SE
20-03-2025,24.7,32.9,27.6,83,0.6,2.1,4,168,2,W
21-03-2025,24.5,28.8,26.1,89,4.8,5.6,4,10,1,N
22-03-2025,24.4,30.4,25.6,88,12.6,0,2,60,1,SE
23-03-2025,23.5,30.9,26.3,86,27.4,0,5,264,2,W
24-03-2025,24.3,32.2,27.1,84,8888,2.3,4,10,2,S
25-03-2025,23.7,31.8,27.3,81,4.2,8,4,205,1,SW
26-03-2025,26.2,32.6,28.4,82,8888,4.4,4,10,2,N
27-03-2025,25.5,33.4,28.6,82,0,8,4,260,2,SW
28-03-2025,25.6,33.3,29.1,81,0,8,4,112,2,W
29-03-2025,24.8,34.2,28.2,76,0,6.8,7,270,2,S
30-03-2025,25.5,32.5,27.1,85,0,5.7,4,190,1,N
31-03-2025,24.7,30.9,26.9,87,60.6,2.1,6,20,2,N
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
