Unnamed: 0,ID WMO,:  97124,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Toraja,,,,,,,,
,LINTANG,:  -3.04524,,,,,,,,
,BUJUR,:  119.81885,,,,,,,,
,ELEVASI,:  829 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2024,19.7,28.5,22.7,92,0.6,4.9,6,70,2,E
02-08-2024,19.6,28.8,23.3,91,0.1,5.7,7,50,2,E
03-08-2024,18.2,28,22,90,1.9,7.7,6,60,3,W
04-08-2024,16.6,29.2,21.4,88,0,7.5,6,60,2,C
05-08-2024,18.8,27.1,21.8,90,0,7,4,100,1,C
06-08-2024,18.2,25,22,94,1.5,1.6,6,60,2,C
07-08-2024,20.2,24,21.9,95,14.7,0.7,4,60,1,C
08-08-2024,19,28,21.7,93,8888,0.5,6,70,2,C
09-08-2024,18.8,27.5,22,88,8888,4.1,6,50,3,NE
10-08-2024,15.1,27.4,20.2,88,0,6.7,7,50,3,E
11-08-2024,19,28.4,22.1,90,0,8,7,50,2,C
12-08-2024,17.7,25.5,20.4,95,0,8,4,140,1,C
13-08-2024,19.8,26.4,22.5,91,0.1,2.8,6,60,2,NE
14-08-2024,19.6,28,22.5,86,0.2,3.2,6,80,3,C
15-08-2024,15.2,28.4,20.5,90,0,8,6,50,2,C
16-08-2024,17,29.7,22.5,89,0,6.4,7,70,3,E
17-08-2024,19.8,28.7,22.9,91,8888,8,6,60,2,C
18-08-2024,19,27.8,22.8,87,0,8,6,50,2,C
19-08-2024,19.2,28.4,22.5,90,0.2,6.5,7,70,2,C
20-08-2024,20,30,23.6,88,0.4,6.3,6,50,2,C
21-08-2024,19.4,28.4,22.5,91,8888,7.6,8,50,2,C
22-08-2024,20.4,26.8,22.9,91,0.2,5.6,4,100,1,C
23-08-2024,19.6,24.6,21.3,93,9.6,1.9,3,150,1,C
24-08-2024,18.9,25.2,21.2,91,18.5,0.5,5,110,2,C
25-08-2024,17.4,28,21.1,90,0,1.3,6,110,3,E
26-08-2024,17,25,21.4,89,0.2,5.2,4,80,1,C
27-08-2024,19.4,25.6,21.8,94,8.8,0.1,5,100,2,C
28-08-2024,20.2,26,21.7,94,0,1.7,6,50,2,NE
29-08-2024,17.9,28.2,21.7,89,8888,3.2,6,70,2,C
30-08-2024,17.9,26,21.6,93,0,5.8,4,290,1,C
31-08-2024,19.4,28.8,22.4,91,14.8,0.3,8,50,2,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
