TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2025,19.2,28.5,22.7,93,10.3,7.4,6,210,3,SW
02-04-2025,18.3,27,22.3,90,8.7,5.8,6,190,2,SW
03-04-2025,19.2,29.4,23.1,92,0,2.8,5,200,3,SW
04-04-2025,19.9,28.8,23,90,0.6,6,5,210,2,SW
05-04-2025,19.7,26.8,22.8,93,0.6,5.2,4,220,1,C
06-04-2025,20.2,27,22.6,92,46.9,0.5,7,160,2,C
07-04-2025,19.9,28.4,23.1,93,14.3,4.6,5,50,2,NE
08-04-2025,20,28.4,23.1,91,1.2,7,5,50,2,C
09-04-2025,20.7,28,22.9,92,2.5,5.5,4,240,2,SW
10-04-2025,19.9,28.2,23.2,92,21.2,4.9,5,200,2,S
11-04-2025,20,28,22.6,91,8888,4.6,5,210,2,C
12-04-2025,20.1,27,22.5,93,15.5,4.5,4,40,1,C
13-04-2025,20.2,28.1,22.8,92,87.9,4.5,6,220,2,S
14-04-2025,19,29.4,22.3,92,36.5,8,5,230,2,SW
15-04-2025,19,28.8,22.9,91,0.4,6.7,5,200,2,C
16-04-2025,19.9,27.8,22.7,91,63.6,5.9,4,200,2,C
17-04-2025,20,27.8,21.8,94,3.5,6.5,4,30,2,C
18-04-2025,19.8,29,23.1,91,19.5,4.4,5,190,2,SW
19-04-2025,20.3,29.2,23.3,91,0,6.4,4,230,2,SW
20-04-2025,20,29.3,23.4,90,1.4,5,5,210,3,SW
21-04-2025,19.9,28.6,23.6,90,0,8,4,220,2,SW
22-04-2025,20.1,29,23.4,89,0,6.7,5,210,2,S
23-04-2025,19.4,29,22.3,90,5.5,7.2,4,210,2,S
24-04-2025,19.5,28.3,22.9,91,0,7.2,5,210,3,SW
25-04-2025,20.4,28.1,22.7,91,2.6,3.6,5,210,2,SW
26-04-2025,19.2,27.2,21.9,94,23.4,6.6,3,220,1,SW
27-04-2025,20.2,26.8,22,92,2.9,5.1,5,200,2,SW
28-04-2025,19,27.6,22.2,92,9.2,4.2,5,190,2,SW
29-04-2025,19.6,28,22.7,90,0,5.1,4,220,2,C
30-04-2025,20.4,27.4,22.8,92,0,3.3,4,230,2,N
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
