TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-02-2025,20.2,27.8,23.8,82,0.1,4.6,6,210,4,SW
02-02-2025,20.8,29.6,25,85,0,4.2,6,200,3,SW
03-02-2025,21.6,29.2,25.2,71,0,5,6,200,4,SW
04-02-2025,19.2,29.6,23.7,83,0,5.7,6,190,4,SW
05-02-2025,19.8,27.6,23.3,83,0,8,6,210,3,SW
06-02-2025,21,28.6,23.7,82,0,0.7,7,210,4,SW
07-02-2025,20.8,28.5,22,88,0,2.8,6,190,4,SW
08-02-2025,19.6,26.2,22.7,85,7.6,4.4,6,220,4,SW
09-02-2025,20,24.5,20.9,94,4.5,3.3,5,210,3,SW
10-02-2025,20.4,25.8,22.2,90,5.5,1.4,5,190,3,SW
11-02-2025,20.2,27.7,23.5,86,8888,2,6,190,3,SW
12-02-2025,21,28.4,23.7,84,8888,3.8,5,190,3,SW
13-02-2025,19.9,29.8,23.3,91,0,3.7,4,210,2,SW
14-02-2025,20.7,27.8,23.6,90,0.2,6.1,4,40,1,C
15-02-2025,20.4,30.1,23.9,90,0,2.4,6,240,2,SW
16-02-2025,20.5,28.1,23.6,89,29,6.6,4,200,2,C
17-02-2025,19.8,26.6,22.1,93,91,4.4,5,210,2,SW
18-02-2025,20,28.4,22.4,90,8888,1.4,5,190,2,SW
19-02-2025,19.8,29.4,22.9,89,16.4,6.4,5,210,2,C
20-02-2025,19.4,28.4,21.6,93,0,6.6,7,200,3,SW
21-02-2025,19.2,27.8,22.8,89,4.4,2.7,4,200,2,C
22-02-2025,20,29.4,23,90,0,1.8,5,220,2,N
23-02-2025,19.9,26.8,22.5,92,15.3,2.9,4,220,2,NE
24-02-2025,19.4,27.6,21.9,94,12.3,0.3,4,220,2,S
25-02-2025,19.8,28,22.6,90,28.3,3.6,5,180,1,C
26-02-2025,19.6,28.6,22.6,93,6.6,5,6,200,2,S
27-02-2025,20,26.8,21.5,95,2.6,6.2,4,210,2,SW
28-02-2025,19,28.4,22.3,92,0.3,0,4,220,2,SW
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
