TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2025,19.6,28.2,23,86,5.1,1.5,6,180,4,SW
02-01-2025,20,28.3,22.8,85,2.3,6,6,200,4,SW
03-01-2025,19.9,28.6,22.8,89,8888,3.2,6,200,3,SW
04-01-2025,20.4,27.2,22.8,88,8888,4,6,200,2,SW
05-01-2025,19.8,27.8,22.5,90,0,5,5,220,2,SW
06-01-2025,19,28.1,22.7,92,2.8,1.4,5,210,2,SW
07-01-2025,21.3,28,23.6,92,1.8,5.8,6,210,2,SW
08-01-2025,20,27.7,22.9,90,0.9,4,5,190,3,S
09-01-2025,20.6,28.5,23,88,0.2,3.8,7,210,3,SW
10-01-2025,19.7,29.2,23.1,88,0.1,5.2,7,220,3,SW
11-01-2025,20,28.8,23.3,89,1,6.2,6,210,2,SW
12-01-2025,19.9,29,23,92,6.7,7.4,5,190,2,S
13-01-2025,20.3,27.2,22.5,93,4,6,3,30,1,C
14-01-2025,20.4,28.7,22.9,93,0.3,2.4,4,220,1,C
15-01-2025,20.7,27.8,23,90,53.9,4.2,5,210,2,S
16-01-2025,19.8,27.6,22.6,91,5.8,5.1,5,210,2,SW
17-01-2025,19.6,28.2,23.4,92,4.5,5.3,6,200,2,SW
18-01-2025,20,28.8,22.9,91,18.1,8,4,220,2,NE
19-01-2025,20.4,27.8,22.8,91,38.8,7.3,5,200,2,S
20-01-2025,20.4,26.4,22.2,92,7,5.3,5,190,3,S
21-01-2025,19.8,27.6,21.7,92,4.8,1.5,7,220,3,SW
22-01-2025,19.3,26.5,22.3,89,9.8,3.2,6,190,3,SW
23-01-2025,20,27.4,22.3,91,15.8,6.4,5,190,2,S
24-01-2025,20.2,26.5,22.3,94,48.3,6.1,4,190,1,C
25-01-2025,20.5,26.8,22.4,94,11.3,1.7,4,230,2,SW
26-01-2025,20.2,28.2,22.7,92,2.5,2.2,5,210,2,SW
27-01-2025,20.4,27.6,22.5,93,4.7,2.7,5,250,2,S
28-01-2025,20.1,26.8,22.4,91,7.4,0.6,5,220,2,SW
29-01-2025,20.6,27.6,22.5,93,6,2,7,220,3,SW
30-01-2025,19.8,27.5,22.1,91,8888,2,6,210,3,SW
31-01-2025,20,27.2,22.8,89,10,3.6,6,220,4,SW
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
