Unnamed: 0,ID WMO,:  97124,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Toraja,,,,,,,,
,LINTANG,:  -3.04524,,,,,,,,
,BUJUR,:  119.81885,,,,,,,,
,ELEVASI,:  829 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2024,20.1,26.4,22.7,94,1.7,5.5,4,120,1,C 
02-07-2024,21,28,23,92,2.8,2.4,5,70,1,C 
03-07-2024,20.3,25.5,22.1,94,23.6,4.9,4,30,1,C 
04-07-2024,19.8,27.5,22.5,92,11.5,0,5,80,1,C 
05-07-2024,20.1,26.2,22.1,93,0,4.3,5,70,1,C 
06-07-2024,18.9,26.3,22.4,93,0,3.6,6,60,1,C 
07-07-2024,20.4,26.8,22.2,93,4.6,4,4,90,1,C 
08-07-2024,-,23.8,-,-,-,-,2,100,1,C
09-07-2024,18.2,26.3,20.7,94,5.3,0,6,60,1,C
10-07-2024,16.6,27.8,20.8,91,8888,1.6,6,70,2,C
11-07-2024,16.4,26.9,20.6,90,0,5.4,6,70,2,C
12-07-2024,14.7,25.6,19.2,94,0,4.3,4,100,1,C
13-07-2024,19,25.6,21.3,92,8888,2.2,4,50,1,C
14-07-2024,18.4,27,21.4,94,8888,0.1,7,50,2,C
15-07-2024,18.6,29.4,22,94,0,5,9,70,2,C
16-07-2024,19.4,24.5,21.3,94,68.4,5.6,4,60,1,C
17-07-2024,18.5,28.2,22,92,8888,0,6,60,2,E
18-07-2024,19.8,27.4,22.4,91,0,6,8,50,3,NE
19-07-2024,18.1,27.9,21.7,90,0,5.7,6,50,2,C
20-07-2024,19.4,28.6,22.9,88,0,6.4,7,50,2,C
21-07-2024,20.1,28.6,23.4,90,0,6.7,6,60,2,C
22-07-2024,20.1,28.1,23.4,90,0,7.4,6,80,2,C
23-07-2024,20.1,29.1,23.3,91,0,4.1,7,70,2,E
24-07-2024,20.6,28.9,23.5,87,0,6.7,6,60,2,C
25-07-2024,20.2,28.8,23,89,0,4.8,6,60,2,C
26-07-2024,20.4,27.5,22.8,92,29.6,5,5,60,1,C
27-07-2024,19.7,27.2,22.4,92,4.4,2.1,6,50,2,NE
28-07-2024,20.2,27.2,22.5,92,0.2,2.1,5,70,2,W
29-07-2024,19,29.8,22.6,92,8888,1.9,9,50,2,C
30-07-2024,20.2,26.5,22.5,91,5.9,6.9,6,60,2,C
31-07-2024,20.2,28.4,22.9,90,8888,3.8,6,60,2,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
