TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2024,19.4,30,24.4,89,0,7.1,6,60,2,E 
02-06-2024,20.2,29.4,23.5,93,1.9,6.1,7,60,1,C 
03-06-2024,21.1,28.2,22.9,92,4,5,5,100,2,C 
04-06-2024,19.1,28.4,23.2,93,14.5,4.6,5,80,1,C 
05-06-2024,20.1,28,23.1,91,0,3.4,4,60,1,C 
06-06-2024,19.9,28.8,22.5,89,0.7,1.3,6,50,2,C 
07-06-2024,19.1,28.8,22.3,93,0,3.3,7,50,2,C 
08-06-2024,19.4,28.1,22.8,93,0,5.3,5,70,1,C 
09-06-2024,18.9,29.2,23.7,91,1,3.8,6,90,2,C 
10-06-2024,19.4,28.5,23.2,89,8888,5.1,5,60,2,C 
11-06-2024,19.4,28,23,90,0,4.5,6,60,2,C 
12-06-2024,19.4,27.8,22.8,93,0,2.9,6,80,2,C 
13-06-2024,19.6,28,22.8,92,0.6,4.6,4,50,1,C 
14-06-2024,19.8,28.9,23.6,91,4.3,3.1,5,100,2,C 
15-06-2024,20.1,27.4,22.5,92,8888,5.1,5,70,1,C 
16-06-2024,19.6,27,22.5,90,8888,2.2,5,80,1,C 
17-06-2024,20.2,27.8,23.2,91,0,1.4,6,70,2,C 
18-06-2024,20.2,29.3,23.3,88,8888,4.7,5,70,2,C 
19-06-2024,18.8,28,21.8,88,0,7.7,8,50,3,NE
20-06-2024,15.2,26.2,20.1,89,-,7.2,4,60,2,C 
21-06-2024,14.9,27.8,22.5,89,0,2.7,6,70,2,C 
22-06-2024,19.4,27.2,22.3,91,0,6.2,5,110,2,C 
23-06-2024,16.7,27.4,22.8,90,0.2,1.8,7,70,2,C 
24-06-2024,18.4,29.2,23.4,88,0,3.2,4,80,1,C 
25-06-2024,19.6,29,23.2,90,0,7.1,6,80,2,C 
26-06-2024,20,29.4,22,94,59.5,6.5,4,70,1,C 
27-06-2024,18.5,28.7,22.7,90,2.2,1.3,6,80,2,C 
28-06-2024,18.6,28.5,23.3,87,0,7.5,8,60,2,C 
29-06-2024,19.6,27.5,22.8,90,16.5,5,4,60,1,C 
30-06-2024,19.6,28.1,23.5,90,8.7,1.7,7,80,2,C 
01-07-2024,20.1,26.4,22.7,94,1.7,5.5,4,120,1,C 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
