Unnamed: 0,ID WMO,:  97124,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Toraja,,,,,,,,
,LINTANG,:  -3.04524,,,,,,,,
,BUJUR,:  119.81885,,,,,,,,
,ELEVASI,:  829 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2025,20,29.2,23.4,87,1.8,4.5,6,220,2,C
02-03-2025,20.4,29.1,23.3,91,0,7.9,5,210,2,SW
03-03-2025,20.2,28.4,23.4,90,5.2,7.6,3,210,1,C
04-03-2025,20.6,29.4,23.2,93,9.5,2.6,6,210,2,SW
05-03-2025,21.2,27.2,23.2,91,2.6,6.6,4,190,2,C
06-03-2025,20.1,28.5,22.6,93,9.1,2,5,190,2,C
07-03-2025,20.2,28.6,23.3,90,50,6.5,6,210,2,SW
08-03-2025,20.2,26,21.9,94,5.1,6.3,3,340,1,C
09-03-2025,19.5,28.2,22.5,93,31.9,0,4,50,2,NE
10-03-2025,20.2,28.8,23.5,87,2.5,4.7,4,30,2,C
11-03-2025,21,27.5,22.6,92,13.1,8,5,210,2,N
12-03-2025,19.8,27.5,22.9,89,40.1,3.5,4,110,1,C
13-03-2025,20.4,27.8,22.2,90,7.7,4.7,6,210,2,C
14-03-2025,19.6,28.2,22.3,92,7.8,4.5,5,190,2,SW
15-03-2025,19.8,28.3,22.5,94,1,3.5,5,210,3,SW
16-03-2025,20,28.6,23,90,1.4,6.8,6,210,3,SW
17-03-2025,20.1,27,23.1,92,2,6.5,6,220,3,SW
18-03-2025,20,29,23.3,85,0.2,1,5,210,4,SW
19-03-2025,20.1,28,22.7,89,3.3,4.5,7,210,3,SW
20-03-2025,20,26.9,22.7,88,0.5,5.8,7,210,5,SW
21-03-2025,20.1,28.3,22.6,83,8888,4.6,7,200,4,SW
22-03-2025,19.6,26.1,21.7,92,5.5,6.7,5,220,2,SW
23-03-2025,18,28.4,22.1,91,5.6,0.9,6,220,3,SW
24-03-2025,19.2,29.8,23.8,85,4.7,5.1,6,210,3,SW
25-03-2025,20,28.6,23.3,89,0,4.6,6,200,3,SW
26-03-2025,20.5,26.6,22.9,92,7.6,4.8,4,210,2,SW
27-03-2025,18.6,29.6,23,89,0,0,5,210,3,SW
28-03-2025,19.2,30.2,24.1,90,0,8,5,230,1,C
29-03-2025,21,30.1,23.2,91,20.3,8,6,210,2,SW
30-03-2025,20.3,27.7,22.8,93,8888,4.6,5,200,2,C
31-03-2025,19.4,29.9,22.9,89,2.9,2,5,220,2,SW
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
