TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2025,20.4,27.9,22.7,94,5.1,1.6,4,210,2,NE
02-05-2025,20.4,28.5,22.9,93,16.1,5.5,4,20,2,SW
03-05-2025,20.4,27.6,22.2,92,29.8,5.9,2,190,1,S
04-05-2025,19.2,27.4,22.4,90,14.8,1.9,4,10,1,C
05-05-2025,19.4,27.6,23.2,91,13.6,5.1,5,210,2,C
06-05-2025,20.7,27.6,22.1,96,1.4,4.2,4,230,2,N
07-05-2025,19.8,27.7,22.4,96,33.7,2.2,4,30,1,N
08-05-2025,20.4,28.2,23.2,90,2,4.7,4,40,2,NE
09-05-2025,20.1,28.3,22.6,90,6.5,7.1,3,40,1,C
10-05-2025,20,26.4,21.9,93,13.5,3.3,5,10,3,NE
11-05-2025,18.8,28.1,22.5,92,8.1,3.3,4,200,2,N
12-05-2025,20.4,28.5,23,91,0,7.1,4,70,2,NE
13-05-2025,19.8,28.5,22.4,92,11.1,6,5,10,2,C
14-05-2025,21.4,28.4,22.2,97,1.5,6.7,4,210,2,NE
15-05-2025,20.7,26.4,23.1,91,20.5,5.3,4,40,2,NE
16-05-2025,20,28.6,22.9,91,0.2,3.2,5,40,2,N
17-05-2025,20.7,26.8,22.3,92,34.6,6.4,6,20,2,N
18-05-2025,20.5,27.6,23,92,2.1,6.3,5,30,2,N
19-05-2025,20.4,27.7,23,89,0,6.2,6,30,4,N
20-05-2025,20.4,27.1,22.9,92,0.2,4.1,6,40,2,N
21-05-2025,20.5,27.2,22.9,90,5.9,2.7,5,20,2,N
22-05-2025,20.5,28.2,22.9,90,0,4.7,6,10,2,C
23-05-2025,20.5,26.6,22.9,93,0,5.1,5,210,2,SW
24-05-2025,20.4,29.2,23.1,91,17,3.2,4,10,1,C
25-05-2025,20.4,28.8,23,89,3.9,5.2,6,40,2,C
26-05-2025,19.2,30.4,22.5,91,0,6,5,200,2,C
27-05-2025,20.2,27.2,22.3,92,14.9,7.9,7,220,3,S
28-05-2025,19,27.6,22.2,94,2.2,6.8,5,40,2,N
29-05-2025,20,27.8,21.9,94,3.6,8,5,40,2,N
30-05-2025,19.3,29.2,22.8,91,0.5,5.3,5,40,2,C
31-05-2025,19.3,28.4,23.1,92,0,8,5,40,2,S
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
