Unnamed: 0,ID WMO,:  97124,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Toraja,,,,,,,,
,LINTANG,:  -3.04524,,,,,,,,
,BUJUR,:  119.81885,,,,,,,,
,ELEVASI,:  829 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-10-2024,16.8,30.4,21.4,89,0,7.4,6,40,3,NE
02-10-2024,19.2,27.8,22.3,92,0,7.8,4,230,1,C
03-10-2024,21,26.1,22.4,94,0.3,4.3,4,200,2,NE
04-10-2024,18.1,27.2,22.5,90,8888,1.2,7,20,4,N
05-10-2024,20.2,28.8,24,80,0,8,9,30,5,N
06-10-2024,18.6,28,22.7,86,0,8,7,50,4,NE
07-10-2024,16.9,28,21.7,89,0,8,6,20,3,N
08-10-2024,19.7,27.3,22.6,91,0,8,5,10,3,N
09-10-2024,20,28.2,23.2,90,3.6,4.5,6,30,2,C
10-10-2024,20.7,28,23.2,89,4.4,8,5,50,3,N
11-10-2024,20.8,28.8,24.3,87,2.7,6.4,6,40,3,N
12-10-2024,21.4,29.2,24.7,85,2.9,8,7,40,4,NE
13-10-2024,21.2,29.2,24,88,0,8,6,20,2,SW
14-10-2024,20.7,29,23.3,91,0.5,8,4,40,2,NE
15-10-2024,20,28.1,23,90,22.9,5.1,5,20,3,NE
16-10-2024,20.2,27.3,22.7,96,0.7,4.9,5,210,2,NE
17-10-2024,20.3,28,22.9,90,11.6,1.6,5,40,2,C
18-10-2024,19.4,28.6,22.9,89,0.4,5,6,50,1,C
19-10-2024,19.1,29.6,23,88,5.1,8,4,250,2,SW
20-10-2024,20,27.7,22.2,92,0,7.7,4,40,2,N
21-10-2024,19.4,29,23.1,86,25.7,8,5,210,3,SW
22-10-2024,19.4,29.3,23.2,89,0,8,6,220,2,SW
23-10-2024,18.8,29.2,23.1,86,0,8,5,100,2,C
24-10-2024,20,29.3,22.9,87,0,8,4,220,2,S
25-10-2024,16.9,29.8,22.2,91,3.3,5.9,4,130,1,C
26-10-2024,19.9,27.8,23.4,90,0.9,7.2,5,60,2,NE
27-10-2024,19.6,29.4,23.4,86,0.4,6,6,40,3,NE
28-10-2024,17.2,29.5,22.8,86,0,8,6,60,3,NE
29-10-2024,19.8,29,24.2,84,0,8,5,30,2,C
30-10-2024,20,30.3,23.9,87,0,8,5,40,2,SW
31-10-2024,20.6,30.4,24.1,87,0,8,6,50,3,NE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
