TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2024,19.6,29.4,23,92,16.3,3.2,8,50,2,E
02-09-2024,19.8,28,23.1,89,2.4,6.4,8,60,3,NE
03-09-2024,18.3,29.2,22.3,88,0,8,7,70,2,C
04-09-2024,18.4,29.3,22.9,91,0,5.9,5,50,2,C
05-09-2024,19.7,29,23,92,8888,7,5,70,2,C
06-09-2024,20.2,28.2,23.2,90,8.8,5.1,5,60,2,C
07-09-2024,20,27.6,22.6,92,2.1,6.3,7,60,2,C
08-09-2024,20.3,29.2,23.1,92,8888,3.7,5,110,2,C
09-09-2024,19.8,28.8,23.1,88,0.8,6,6,90,2,E
10-09-2024,18.4,28.9,22.3,85,0,6,6,90,2,E
11-09-2024,15.8,27.2,20.6,86,0,8,7,60,2,C
12-09-2024,15.4,27.8,20.4,88,0,8,7,90,3,C
13-09-2024,16.5,28.5,21.5,85,0,8,7,80,3,E
14-09-2024,14.2,28,19.8,86,0,5.7,8,70,3,E
15-09-2024,16,28,20.6,89,0,8,8,60,2,C
16-09-2024,16.4,29.2,21.4,91,0,7.8,7,50,2,C
17-09-2024,17.6,30.2,22.3,86,0,8,8,60,2,C
18-09-2024,19.3,31.2,23.8,88,0,8,6,60,2,C
19-09-2024,18.4,31.4,23.8,87,0,7.7,7,70,2,C
20-09-2024,20,30.8,24.4,86,0,8,6,60,2,C
21-09-2024,19.2,32.4,24.3,83,0,3.4,7,280,2,C
22-09-2024,19,32.5,23.4,86,0,7.2,6,290,2,W
23-09-2024,17.5,31.7,22.7,89,1.5,7.2,5,200,1,C
24-09-2024,18.2,31.2,23.1,92,8888,7,6,80,2,C
25-09-2024,19.5,31.2,24.2,88,25.2,5.9,4,90,2,E
26-09-2024,19.8,31.1,23.9,88,0,8,7,60,2,C
27-09-2024,20.1,30.6,24.1,86,0,7.8,6,70,2,C
28-09-2024,19.6,29.2,23.4,90,1.2,8,6,90,2,E
29-09-2024,20.4,29.6,23.6,92,8888,6.4,7,60,2,C
30-09-2024,18.7,28,22.3,90,5.5,5.9,8,60,2,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
