TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2024,-,-,29.4,89,21.2,7.2,3,340,2,NW
02-06-2024,-,-,28,93,1.5,5.9,3,360,1,N 
03-06-2024,-,-,28,93,2.3,2.7,4,10,2,N 
04-06-2024,-,-,27.7,94,27.2,4.2,2,350,1,N 
05-06-2024,-,-,28.8,90,8.7,0.3,3,350,2,N 
06-06-2024,-,-,28,92,0,1.6,2,180,1,N 
07-06-2024,-,-,28.2,92,5,0,3,320,2,N 
08-06-2024,-,-,28.6,89,0,4.4,4,10,2,N 
09-06-2024,-,-,28.4,91,30,3.9,3,330,1,N 
10-06-2024,-,-,29.3,88,0.1,4.9,3,360,2,N 
11-06-2024,-,-,28.3,90,0,5.2,3,300,2,N 
12-06-2024,-,-,28.6,89,8,7,3,340,2,C 
13-06-2024,-,-,28.1,87,1.1,6.2,4,320,2,NW
14-06-2024,-,-,28.1,89,2,2.5,3,330,2,N 
15-06-2024,-,-,27.5,92,0,5.1,4,140,2,N 
16-06-2024,-,-,29.1,82,47.8,3.6,4,170,2,N 
17-06-2024,-,-,28.6,90,0,5.2,3,320,2,NW
18-06-2024,-,-,28.6,88,12.5,3.7,4,260,2,N 
19-06-2024,-,-,28.7,87,8888,7.9,3,290,2,NW
20-06-2024,-,-,29.1,81,0,5.5,4,300,2,N 
21-06-2024,-,-,29.4,79,0,9,3,10,2,NW
22-06-2024,-,-,28.9,84,0,8.4,3,320,2,N 
23-06-2024,-,-,26.9,94,8888,5.1,3,310,2,C 
24-06-2024,-,-,25.6,97,33,0.4,5,70,2,C 
25-06-2024,-,-,28.3,84,22,0.8,3,350,2,NW
26-06-2024,-,-,27.9,89,0,10.3,3,350,2,N 
27-06-2024,-,-,29.6,85,0.3,3.7,3,360,2,N 
28-06-2024,-,-,29.1,88,0,9.6,4,300,2,N 
29-06-2024,-,-,27.4,94,49,3.8,3,340,1,N 
30-06-2024,-,-,28.5,88,7.8,3.8,3,320,1,N 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
