TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-08-2024,24.8,31,27.3,90,2.3,8,3,110,1,C
02-08-2024,23.6,30.6,26.1,89,8888,6.7,3,70,1,E
03-08-2024,23.9,31.3,26.9,86,8888,6.6,3,120,1,NE
04-08-2024,23,31.6,26.8,87,0,8,3,120,1,E
05-08-2024,24.4,29.2,26.2,92,6.1,7,2,60,1,C
06-08-2024,24.4,30.2,26.7,90,8888,2.3,3,140,1,C
07-08-2024,24.6,31.2,27.4,86,8888,4,3,130,1,C
08-08-2024,24.4,31.1,27.6,86,8888,7.1,5,110,1,SE
09-08-2024,22.6,31.5,26.6,84,0,7.4,3,110,1,C
10-08-2024,22.2,30.8,25.7,85,0,8,3,100,1,NE
11-08-2024,21.2,30.2,25,88,0,7,3,110,1,E
12-08-2024,23.6,29.9,26.7,85,8888,4,2,110,1,SE
13-08-2024,23.6,30.5,26.8,82,0,1.1,3,120,1,E
14-08-2024,22.8,31.2,26.1,79,0,8,3,70,1,E
15-08-2024,21.8,31,25.6,83,0,8,3,110,1,E
16-08-2024,22.5,30.6,26.1,86,0,8,3,110,1,C
17-08-2024,22.2,31.6,26,85,0,7.1,3,100,1,E
18-08-2024,22.2,31.4,26.6,85,0,8,2,110,1,C
19-08-2024,24.6,31.1,26.9,88,0,8,3,100,1,SE
20-08-2024,23.5,31,26.7,85,0,7.5,3,130,1,NE
21-08-2024,23.3,31.2,26.9,85,0,8,3,110,1,E
22-08-2024,25.1,31.9,27.8,83,0,7.6,2,130,1,C
23-08-2024,24.6,31,27.5,84,6.4,6.2,2,80,1,W
24-08-2024,24,30.9,26.9,86,8888,2.5,2,150,1,C
25-08-2024,24,30.2,26.8,86,2.1,4.5,2,270,0,C
26-08-2024,24.3,28.2,25.9,92,5.6,2.5,1,170,0,C
27-08-2024,24.6,31.4,27.4,86,9.5,8,3,110,1,E
28-08-2024,22.6,28.4,24.4,93,12.7,8,1,60,1,C
29-08-2024,22.4,30.6,26.2,89,4.8,1.2,3,120,1,NE
30-08-2024,22.9,30.4,26.5,84,8888,6,2,80,1,C
31-08-2024,23.7,31.4,27.1,84,0.3,2.1,3,100,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
