Unnamed: 0,ID WMO,:  97144,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Maritim Kendari,,,,,,,,
,LINTANG,:  -3.97010,,,,,,,,
,BUJUR,:  122.58950,,,,,,,,
,ELEVASI,:  2 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2025,24.8,31.2,27.5,86,19.1,4.8,2,110,1,SW
02-04-2025,25,31.7,27.7,85,1.8,8,3,120,1,C
03-04-2025,25,33.2,28,85,0,3.3,2,60,1,NE
04-04-2025,25,30,27.2,87,0.9,8,2,70,1,NE
05-04-2025,25.2,31.2,27,88,31.7,0,2,130,1,W
06-04-2025,25.3,28.4,26.9,90,8888,2.6,2,280,0,C
07-04-2025,25.4,32.1,28,86,1.4,0,3,130,1,C
08-04-2025,24.6,32.1,28.1,83,8888,5.9,3,90,1,NE
09-04-2025,25.3,32,28.2,84,0,7.8,3,130,1,NE
10-04-2025,26.2,32.7,28.6,85,3.3,6.7,2,100,1,NE
11-04-2025,26,30.9,26.6,92,1,5.1,2,260,1,W
12-04-2025,24.4,32,27.6,85,37,3.1,3,60,1,C
13-04-2025,25.9,32.8,29,83,18.5,6.3,3,120,1,SE
14-04-2025,25.2,33.4,28.8,84,30.8,7.5,2,80,1,E
15-04-2025,25.4,33,28.1,83,1.7,8,2,90,1,W
16-04-2025,25.6,32.4,28.4,85,11.5,8,3,270,1,E
17-04-2025,24.5,31.8,27.7,87,57.7,7.2,2,130,1,C
18-04-2025,24.6,31.3,27,88,47.7,4.1,3,100,1,SE
19-04-2025,24.7,28.9,26.8,87,12.1,3.4,1,40,0,C
20-04-2025,24,32.8,27.3,84,8888,0,3,130,1,NE
21-04-2025,25.4,31.5,27.4,89,2.9,7.6,2,70,1,W
22-04-2025,25.1,32.3,27.3,88,1.7,4.3,2,80,1,C
23-04-2025,25,32.4,27.2,88,14.3,4.1,2,40,1,NE
24-04-2025,25.1,32.3,28.3,84,23.4,1.1,2,110,1,W
25-04-2025,25.3,32.4,27.4,85,0,3.9,2,190,1,NE
26-04-2025,25.2,31.8,27.5,87,3.7,3,2,50,1,NE
27-04-2025,25,32.2,27.9,86,0,2.9,2,270,1,C
28-04-2025,25,32.8,28.5,82,0.5,2.1,3,120,1,NE
29-04-2025,24.3,31.3,27.7,85,0,6.1,2,100,1,E
30-04-2025,25.6,31.3,27.9,87,8888,0,2,80,1,W
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
