Unnamed: 0,ID WMO,:  97144,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Maritim Kendari,,,,,,,,
,LINTANG,:  -3.97010,,,,,,,,
,BUJUR,:  122.58950,,,,,,,,
,ELEVASI,:  2 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2024,25.6,31.4,28,86,13,7,3,130,1,C
02-12-2024,26,33.4,29.1,81,0,2.5,3,130,1,C
03-12-2024,25.8,31.7,28.2,86,27.9,6.6,2,120,1,C
04-12-2024,26.3,33,28.6,85,8888,0.7,2,120,1,C
05-12-2024,26,33,28.4,84,8888,2.8,3,120,1,C
06-12-2024,25.2,32,27.8,86,44.1,4.4,3,130,1,C
07-12-2024,25,30,26.9,91,15.5,4.1,1,240,0,C
08-12-2024,25.2,33.2,29,82,0.8,0.9,3,140,1,E
09-12-2024,25.4,29.2,27.6,89,0.5,5.6,2,80,0,C
10-12-2024,24.8,31.4,26.9,89,20.5,0,2,120,0,C
11-12-2024,24.8,32.2,28.2,85,17.5,1.2,3,70,1,C
12-12-2024,25.2,33,27.9,88,8.3,2.8,1,60,0,C
13-12-2024,24.6,32.9,27.4,86,10.6,1.5,2,120,0,C
14-12-2024,25,32,28.3,87,43.9,3.9,3,60,1,C
15-12-2024,25.2,33.4,28.2,82,0,0,2,90,0,C
16-12-2024,25.3,33.6,28.9,81,11.2,4.9,2,200,1,W
17-12-2024,26.1,34.3,29.8,77,8888,4.3,2,230,1,S
18-12-2024,25.6,34.2,30.1,74,0,4.5,2,220,1,S
19-12-2024,26.2,33.6,30,73,0,7.5,2,190,1,SW
20-12-2024,26.2,34.2,29.7,75,0,6.1,2,190,1,SW
21-12-2024,26,32.8,28.9,77,0,6.1,3,190,1,S
22-12-2024,26.5,33.1,28.8,76,0,2.5,3,210,1,SW
23-12-2024,25.2,34.2,29.9,72,8888,4.9,3,240,1,SW
24-12-2024,25.6,31.3,27.9,87,8888,8,2,30,1,NE
25-12-2024,26,34.4,29.6,79,2,0,2,200,1,S
26-12-2024,26,30,27.4,88,4.7,6.3,1,30,0,C
27-12-2024,25.4,35.2,28.4,82,1.5,0,2,220,1,SW
28-12-2024,26.2,28.8,27.2,89,36.4,7.6,2,100,1,C
29-12-2024,24.8,30.8,27.1,88,2.4,0,3,80,1,C
30-12-2024,25,33.2,27.9,83,8.9,1.6,2,170,1,C
31-12-2024,25.6,29.3,26.8,90,2.8,7.4,2,120,0,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
