TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-02-2025,26,31.7,28.3,84,0,8,2,60,1,C
02-02-2025,26.2,34.6,29.4,82,0,0.5,2,230,1,C
03-02-2025,26.7,33.4,28.6,86,8888,3.2,2,130,1,E
04-02-2025,27.3,32.8,29.4,83,0,1,2,40,1,C
05-02-2025,26.4,33.2,29,84,0,0.6,3,60,1,NE
06-02-2025,25.6,33,29.1,83,0,2.9,2,110,1,C
07-02-2025,25.2,31.3,27.2,87,0,3.1,2,140,1,C
08-02-2025,24.8,34.4,28.3,81,0.2,0.4,2,30,1,SW
09-02-2025,25.5,30.7,26,90,4.1,6.2,4,220,1,NE
10-02-2025,24.6,32.3,27.4,87,11,0.7,3,130,1,NE
11-02-2025,25.6,30.3,27.8,90,1.2,3.8,3,60,1,C
12-02-2025,25.6,31.8,27.6,89,18.5,2.5,2,140,1,E
13-02-2025,25.2,31.4,28.1,88,7,1.7,3,120,1,W
14-02-2025,24.3,31.7,27.4,88,3.1,4.4,2,100,1,E
15-02-2025,24.6,32.8,28.4,84,0,2.8,3,100,1,SW
16-02-2025,24.5,33.4,28.1,82,0,8,2,40,1,E
17-02-2025,25.6,31.4,27.4,87,37.5,7.3,2,130,1,E
18-02-2025,24.4,32.9,27.2,87,15.7,0,2,200,1,NE
19-02-2025,25,31.9,27.7,86,2,4.9,3,60,1,NE
20-02-2025,25.6,31.7,27.7,85,0.5,1.1,4,60,1,E
21-02-2025,25,29.6,27,88,0.4,5.2,2,70,0,C
22-02-2025,25,31.4,27.2,85,0.3,0,3,130,1,NE
23-02-2025,24.5,30.2,27.1,88,0.5,3.6,2,140,1,C
24-02-2025,25.4,30.7,27.7,86,1.8,0,2,230,1,W
25-02-2025,25,32.1,27.4,83,8888,3.2,2,110,1,W
26-02-2025,24.8,32.8,27.6,85,8888,5.7,3,60,1,C
27-02-2025,25.2,30.4,26.5,87,7.5,6.4,2,270,1,W
28-02-2025,24.2,32.6,27.1,86,12,0.3,3,120,1,W
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
