Unnamed: 0,ID WMO,:  97144,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Maritim Kendari,,,,,,,,
,LINTANG,:  -3.97010,,,,,,,,
,BUJUR,:  122.58950,,,,,,,,
,ELEVASI,:  2 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2025,25,32.7,27.9,84,6.2,1,2,270,1,C
02-01-2025,25.5,32.4,28.6,85,1.3,4.1,2,270,0,C
03-01-2025,25.6,33,28,84,8888,2.9,4,140,1,C
04-01-2025,25.8,32,27.7,87,24.7,5.3,4,110,1,C
05-01-2025,25.3,32.6,27.8,85,19.3,6,2,130,1,C
06-01-2025,25.4,32,28.1,85,8888,6.1,3,130,1,C
07-01-2025,26.2,32.4,28.8,84,4.4,5,3,120,1,C
08-01-2025,25.6,29.1,26.3,91,0,5,2,270,0,C
09-01-2025,23.6,32.8,27.5,86,1.9,0.2,2,150,1,C
10-01-2025,25.6,32.4,28.9,84,0.7,8,2,120,1,C
11-01-2025,25,32.2,28.4,85,8888,4.9,3,90,1,C
12-01-2025,25,33.2,28.8,80,0,4.2,3,110,1,E
13-01-2025,25.8,31,27.5,87,8888,8,2,130,0,C
14-01-2025,25.6,32.4,28.2,86,6.7,0.9,3,130,1,C
15-01-2025,25.2,32.5,27.7,85,0,7,2,70,1,C
16-01-2025,24.8,32.3,27.9,84,3.2,6.8,2,120,0,C
17-01-2025,25,33.2,28.6,81,0,4.7,3,90,1,C
18-01-2025,24.5,32.4,27.9,84,60.6,8,2,110,1,C
19-01-2025,25.8,31.8,28.2,84,2.5,8,3,130,1,C
20-01-2025,25.6,30.6,27.9,85,8888,2.9,2,290,0,C
21-01-2025,25,32.6,27.7,86,8888,0,2,250,0,C
22-01-2025,25,32.3,27.6,86,12.4,4,3,110,1,C
23-01-2025,24.8,32.4,27.8,84,9.9,6.1,3,120,1,C
24-01-2025,25.2,32.3,27.6,85,1,6.8,3,90,1,C
25-01-2025,25.4,30.7,27.9,88,0.3,4.6,2,110,1,W
26-01-2025,25.4,30.4,27.5,89,1.4,0,2,120,1,NE
27-01-2025,25.2,32.5,27.4,89,0.4,0.3,3,140,1,C
28-01-2025,24.6,31.4,27.4,87,79.1,2.6,2,20,1,C
29-01-2025,24.8,32.3,28,85,8888,0.6,3,80,1,C
30-01-2025,25.8,32.2,27.7,88,1.3,5.1,3,60,1,C
31-01-2025,25.4,33.4,28.7,82,26.1,3.2,2,150,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
