Unnamed: 0,ID WMO,:  97144,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Maritim Kendari,,,,,,,,
,LINTANG,:  -3.97010,,,,,,,,
,BUJUR,:  122.58950,,,,,,,,
,ELEVASI,:  2 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2024,25.1,26.8,25.7,95,38.1,3,1,70,0,C 
02-07-2024,24.8,31.2,27,91,27.7,0,2,110,1,C 
03-07-2024,24.8,27.9,25.4,96,2,5.2,0,80,0,C 
04-07-2024,23.9,25.9,24.6,95,100,0,0,280,0,C 
05-07-2024,23.9,30.3,26.6,88,2.4,0,2,120,0,C 
06-07-2024,24.3,30,27.1,90,0,4.2,2,110,0,C 
07-07-2024,24.5,30.4,27,92,12,1.5,3,120,1,C 
08-07-2024,-,30.1,-,-,-,-,2,80,1,C
09-07-2024,24.7,30.9,26.7,91,3,1.5,3,130,1,C
10-07-2024,23.8,31.5,27.2,84,12.1,1.5,3,130,1,SE
11-07-2024,23.2,29.3,25.3,92,8888,7.4,2,60,1,NE
12-07-2024,22.7,27.2,24.4,94,1.6,3.9,2,100,1,C
13-07-2024,23.2,28.9,25.3,92,8888,1.4,2,90,0,C
14-07-2024,24,29.1,26.1,90,0.5,0.7,2,110,1,C
15-07-2024,24.6,29.8,26.7,88,0,2.5,2,100,1,C
16-07-2024,24.8,29.7,26.7,88,8888,4.4,2,110,1,SE
17-07-2024,23.5,30.8,26.2,87,0,2.6,3,140,1,SE
18-07-2024,22.6,30.1,25.6,85,0,4,3,130,1,C
19-07-2024,22.4,30.5,25.6,87,0,7,3,130,1,C
20-07-2024,23.4,30.6,26.5,86,8888,6.3,3,70,1,C
21-07-2024,23.4,28.6,25.9,92,3.2,7.9,2,70,1,C
22-07-2024,24.7,29.6,27,89,1.6,1,3,110,1,C
23-07-2024,24,30.5,26.6,85,0,3.7,2,130,1,E
24-07-2024,23.8,30.8,27.1,88,0,4.3,2,60,1,E
25-07-2024,24.4,31.8,27.3,88,0,2.4,3,60,1,E
26-07-2024,24.9,31,27.5,87,0,7.8,3,110,1,C
27-07-2024,25.6,31.6,27.7,90,0,3.5,3,110,1,C
28-07-2024,25.6,29.6,26.8,92,0,4.7,2,120,1,C
29-07-2024,24.6,30.5,26.5,91,8888,2.1,3,70,1,NE
30-07-2024,24.3,31,27.3,90,8888,5.6,3,140,1,SE
31-07-2024,23.9,31.1,26.8,89,0,8,3,120,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
