TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2024,25.3,30.1,27.4,92,0,8,2,90,0,C 
02-06-2024,25.7,31.8,27.6,92,12.1,2.6,2,80,0,C 
03-06-2024,26.1,32.3,27.8,88,16.2,5.3,3,120,1,C 
04-06-2024,25,28.1,26.2,94,41.3,5.6,1,270,0,C 
05-06-2024,24.8,30.2,26.8,92,32.3,0,2,120,0,C 
06-06-2024,24.7,31.4,27.2,89,1.3,0.8,2,120,1,E 
07-06-2024,24.3,31.8,27.4,89,0,6,2,130,1,E 
08-06-2024,24.5,30.8,27.1,91,0,6.5,2,120,1,C 
09-06-2024,24.9,31.6,27.7,89,8888,2.5,3,120,1,SE
10-06-2024,24.5,31.8,27.6,88,8888,4.3,2,90,1,C 
11-06-2024,24.7,31.4,27.8,89,0,5.7,3,130,1,C 
12-06-2024,25.1,28,26.2,94,8.4,3,1,70,0,C 
13-06-2024,24.9,31.1,27.3,89,6.2,0,3,110,1,C 
14-06-2024,24.7,31.1,27.5,89,0,6.4,2,130,1,C 
15-06-2024,24.6,31.2,27.3,89,0,4.3,2,110,1,E 
16-06-2024,24.2,30.8,27.6,90,0,8.4,2,100,1,C 
17-06-2024,25.1,31,26.7,87,4.7,5,3,130,1,SE
18-06-2024,23.4,31.1,26.3,87,0,5.6,2,110,1,E 
19-06-2024,22.4,31.5,26.3,86,0,4.6,2,90,1,E 
20-06-2024,22.2,30.2,26.1,89,0,8.1,2,280,1,C 
21-06-2024,23.7,31.8,27.5,86,8888,2.9,3,120,1,NE
22-06-2024,24.1,31.8,26.1,91,1.7,3.8,2,100,1,C 
23-06-2024,24.5,30,26,91,5.2,0.9,2,150,1,C 
24-06-2024,24.1,27.1,26,94,18.9,3.8,0,230,0,C 
25-06-2024,24,31.3,27.2,88,17.5,0,2,90,1,C 
26-06-2024,24.4,30.2,26.4,91,0,4.2,2,120,1,E 
27-06-2024,23.5,31.6,27.5,88,8888,0.9,2,110,1,E 
28-06-2024,24.6,31.2,27.9,87,0,7.1,2,100,1,C 
29-06-2024,24.6,31.3,27.1,91,8888,4.2,3,120,0,C 
30-06-2024,25.4,31.8,26.8,92,5.8,1.8,1,30,0,C 
01-07-2024,25.1,26.8,25.7,95,38.1,3,1,70,0,C 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
