TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-11-2024,25.4,33.1,28.9,80,1.5,8,3,120,1,E
02-11-2024,24.8,33.4,27.7,81,0,6.4,3,120,1,C
03-11-2024,24.1,33.8,27.7,82,1.9,5.2,4,130,1,C
04-11-2024,24.6,31.4,26.6,89,3.3,7.9,2,270,1,E
05-11-2024,25,33.2,28.1,81,32.3,5.7,2,90,1,C
06-11-2024,25,32.4,28.3,81,2.4,5.8,3,130,1,C
07-11-2024,25.4,32,28.5,85,0,7.6,3,130,1,C
08-11-2024,26,32.8,29.4,81,5.5,6.7,5,120,1,C
09-11-2024,25.7,33,28.7,84,0,8,3,140,1,C
10-11-2024,26.4,33,29.4,82,8888,8,3,120,1,C
11-11-2024,25.4,33,28.9,81,8888,7.7,5,80,1,C
12-11-2024,25.4,31.2,27.7,86,0.4,7.4,3,290,1,C
13-11-2024,24.5,33,28.7,79,1,3.1,3,110,1,E
14-11-2024,25.4,30.4,27.3,88,0,8,2,60,0,C
15-11-2024,25.4,33,28.9,83,8.6,3.4,3,130,1,C
16-11-2024,25.6,33.5,29.3,82,8888,7.3,3,130,1,C
17-11-2024,26.1,31.4,28.1,85,0,6.4,3,130,1,C
18-11-2024,25,33.1,28.7,83,0,2.9,3,130,1,E
19-11-2024,25.2,34,29.1,82,8888,8,3,130,1,C
20-11-2024,26,33.3,28.7,83,8,7.8,3,120,1,C
21-11-2024,25.6,32.8,28.9,84,8888,4.6,4,120,1,C
22-11-2024,26.1,33.8,29.2,81,8888,4.6,3,130,1,C
23-11-2024,26,32.5,28.7,83,8888,7.2,3,120,1,C
24-11-2024,25.6,33.6,29.4,81,48.4,5.8,4,120,1,C
25-11-2024,26.4,34.3,29.4,83,0,8,3,120,1,C
26-11-2024,26.4,34,29.6,79,0,7,2,130,1,C
27-11-2024,26.2,34.1,29.6,81,1.2,7,3,130,1,E
28-11-2024,26.4,34,29.5,84,0.3,8,3,120,1,C
29-11-2024,26.4,33.6,28.6,84,66.7,8,3,120,1,C
30-11-2024,26.2,34.3,28.6,85,4.1,7.1,3,80,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
