TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-10-2024,23.6,32.5,27.5,83,0.2,6.4,4,100,1,C
02-10-2024,25,27.7,26.3,89,18.9,6.2,1,80,0,C
03-10-2024,24.6,32.4,28.7,78,37.1,0.5,3,100,1,E
04-10-2024,23,31.8,26.6,87,0,8,3,120,1,C
05-10-2024,24.6,32.8,28.3,78,3.2,6.4,3,100,1,E
06-10-2024,23,32.6,27.8,78,0,8,3,110,1,C
07-10-2024,24.6,30.7,27.4,84,6.3,8,2,90,1,E
08-10-2024,24.8,32.3,27.8,84,0,0.5,2,70,0,C
09-10-2024,25,30.6,26.5,91,18.7,4.1,3,120,1,C
10-10-2024,25,30.6,27,90,26.2,2.9,3,120,0,C
11-10-2024,24.5,32.4,28.4,85,18.2,4.2,3,90,1,C
12-10-2024,25.8,32.7,28.7,85,0,7.5,3,110,1,C
13-10-2024,25.6,32.3,28.8,82,0,8,3,140,1,C
14-10-2024,25.4,31.8,28.4,84,0,8,4,130,1,C
15-10-2024,26,31.9,28.2,86,0,6,3,120,1,C
16-10-2024,25.8,33,28.6,83,0,5.4,3,110,1,NE
17-10-2024,24.2,32.1,27.9,81,0,8,3,120,1,C
18-10-2024,24.2,32.4,28,82,0,8,3,110,1,E
19-10-2024,24.3,32.7,28.1,80,0,8,3,100,1,C
20-10-2024,24.1,33.8,28.6,79,0,8,3,130,1,E
21-10-2024,24.3,33.4,28.7,80,0,8,3,130,1,C
22-10-2024,25.6,35.1,29.1,77,0,8,2,160,1,C
23-10-2024,25,34.8,29,74,7,8,2,210,1,S
24-10-2024,25.2,34,29.3,78,0,8,4,120,1,C
25-10-2024,26.4,34.4,30.2,78,0.3,8,2,210,1,E
26-10-2024,26.6,34.2,30.1,79,0,3.2,3,120,1,NE
27-10-2024,25,34.4,29.4,76,0,7.1,3,130,1,E
28-10-2024,23.8,34.2,28.8,79,0,8,3,90,1,C
29-10-2024,24.5,34,29.3,80,0,8,3,100,1,E
30-10-2024,25,33.4,28.9,80,0,8,3,130,1,NE
31-10-2024,25.5,33.4,29.3,79,0,8,3,100,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
