TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2024,23.2,31,26.8,82,0,5.8,3,130,1,SE
02-09-2024,23.3,31.4,26.9,84,0,8,3,110,1,SE
03-09-2024,25.2,30.8,27.5,90,3.5,6.1,3,90,1,E
04-09-2024,25.6,30.2,27.5,88,8888,3.5,2,130,0,C
05-09-2024,24.7,31.6,27.3,89,3.8,3.6,3,120,1,C
06-09-2024,25.4,31,27.6,85,8888,6.8,2,80,1,C
07-09-2024,25.3,31.3,27.9,84,1,7.5,3,120,1,C
08-09-2024,25.4,31.4,27.3,88,1,6.3,2,110,1,C
09-09-2024,25.2,32.5,27.9,81,8888,6.8,3,120,1,SE
10-09-2024,22,31.6,26,84,0,8,2,130,1,C
11-09-2024,20.8,31.6,26.2,82,0,8,3,120,1,SE
12-09-2024,22.2,32.3,27.1,87,0,6.9,4,110,1,NE
13-09-2024,21.8,31.4,26.5,85,0,8,3,110,1,C
14-09-2024,21.6,31.8,26.4,84,0,5,3,120,1,SE
15-09-2024,22.2,32,26.5,83,0,8,3,140,1,E
16-09-2024,22.6,31.7,27.1,78,0,6.8,3,130,1,SE
17-09-2024,22.9,32,27.1,81,0,8,3,130,1,E
18-09-2024,23.8,32.3,28,83,0,8,3,240,1,E
19-09-2024,25.5,32,28.8,84,2,8,3,120,1,E
20-09-2024,27.5,32.2,29.3,85,8888,5.8,4,110,1,E
21-09-2024,26.8,32,29,85,0,3.7,3,110,1,E
22-09-2024,25.2,32.4,28.2,80,0.2,6.3,4,130,1,NE
23-09-2024,25.6,33,28.7,83,0,6.4,3,130,1,E
24-09-2024,25.3,33.1,29.2,82,0,8,4,110,1,C
25-09-2024,25.8,33,28.9,83,0,7,4,120,1,C
26-09-2024,24.6,32.5,28.3,81,0,8,3,120,1,E
27-09-2024,24.5,32.5,27.8,84,0,8,2,120,1,E
28-09-2024,24.2,30.6,27.5,86,8888,4.2,2,120,1,C
29-09-2024,25.3,33,28.3,81,8888,3,3,120,1,C
30-09-2024,24.7,33,28,82,0.9,8,3,110,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
