TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2017,24,33.8,28.9,78,0,0,3,220,2,SW
02-05-2017,26,30.8,28.3,83,0,9.6,3,270,1,E 
03-05-2017,25,33.2,27.9,81,18.1,6.6,2,270,1,SW
04-05-2017,25,32,27.8,76,0.1,7.8,4,50,1,E 
05-05-2017,25,33.6,27.7,81,2.6,5.4,3,70,1,E 
06-05-2017,24,33.8,28.1,75,4.3,5.3,3,70,2,E 
07-05-2017,25,34.4,27.9,82,8888,4.2,2,230,1,E 
08-05-2017,25,33.2,27.1,84,0,4.6,2,200,1,N 
09-05-2017,24,34,28.4,82,1.1,3.1,2,230,1,N 
10-05-2017,24,34.4,28.8,77,23.9,4.9,3,70,2,E 
11-05-2017,25,33.8,28.8,78,0,5.6,3,60,1,N 
12-05-2017,24,27.4,25.1,92,20.2,3.6,0,60,0,N 
13-05-2017,23,31.2,26.5,89,8.3,0,2,210,1,N 
14-05-2017,24,28.2,25.5,93,13.9,1.6,2,70,1,NE
15-05-2017,25,32.8,28,79,10,0,3,70,2,E 
16-05-2017,24,32,28.2,78,0,4.3,3,60,1,NE
17-05-2017,25,29.8,25.9,91,0,4.4,1,210,0,N 
18-05-2017,24,29.8,26.6,90,10,0,2,50,0,N 
19-05-2017,24,33.8,28.5,80,3.3,0.6,4,270,1,E 
20-05-2017,24,34,28.4,80,0,8.8,2,270,1,N 
21-05-2017,24,32.4,27.5,83,18,7.8,3,50,1,NE
22-05-2017,26,34.2,28.7,77,0,4.3,4,50,2,E 
23-05-2017,25,34.2,29.2,74,3.8,7.8,2,50,1,E 
24-05-2017,26,30,26.7,90,5,7.1,3,190,1,N 
25-05-2017,25,28.6,26.4,90,2.9,0.4,3,70,1,E 
26-05-2017,25,32.8,27.9,83,0.2,0.9,2,270,1,N 
27-05-2017,25,33,28.1,83,41.8,1.8,2,220,1,NE
28-05-2017,25,32.6,27.8,84,19.8,2.8,2,290,1,E 
29-05-2017,24,32.6,27.5,82,26.9,6.2,3,80,1,E 
30-05-2017,25,28.6,26,93,22.2,1.5,2,50,0,N 
31-05-2017,25,28,25.4,94,11.4,0,2,40,0,NE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
