TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2025,24,31.4,27.1,88,0,1,4,300,2,NW
02-04-2025,23.6,31.6,26.2,92,67.8,1.7,4,290,1,SE
03-04-2025,24.5,31.8,27.6,85,17.2,1,4,330,2,NW
04-04-2025,23.8,30.4,25.9,90,0,5.4,4,320,1,C
05-04-2025,23.5,31.2,26.7,87,18.3,2.8,3,320,2,E
06-04-2025,23.8,32.2,26.8,88,1.9,0.6,4,90,2,SE
07-04-2025,24.5,32,27.2,89,0.9,2.2,3,310,1,SE
08-04-2025,23.8,31.8,26.8,90,1.2,2.4,4,310,1,SE
09-04-2025,24.6,31.6,27.6,89,1.9,2.3,3,290,1,C
10-04-2025,25,30.8,27.8,88,0,4.3,3,310,1,E
11-04-2025,23.8,32,26.9,88,0,5.5,4,300,1,NW
12-04-2025,24,31.6,27.7,84,1.2,3.2,3,300,2,NW
13-04-2025,24.1,31.6,26.7,87,1.8,3.8,3,320,1,E
14-04-2025,23.2,31.8,26.6,92,7.7,2.4,3,310,1,SE
15-04-2025,23.9,31,25.9,92,15.2,1.2,4,100,2,E
16-04-2025,24.1,31.4,27.2,88,59.6,1.4,3,320,1,SE
17-04-2025,24,33.4,28.2,84,0,0,4,330,2,NW
18-04-2025,23.6,32.4,28,84,0,8,4,310,2,NW
19-04-2025,23.8,31.8,27.2,89,8888,8,3,150,1,SE
20-04-2025,24,30.4,27.5,86,8888,2.7,4,330,2,E
21-04-2025,24.7,31.9,27.6,84,0,7.3,3,310,2,E
22-04-2025,25,32,27.5,89,8888,0.6,3,280,2,E
23-04-2025,24.4,31.2,26.3,94,1.2,5.8,6,310,1,E
24-04-2025,24.2,29.6,25.6,93,4.6,4.9,6,260,1,SE
25-04-2025,24.3,30.4,25.4,93,25.8,0.5,5,320,2,E
26-04-2025,22.5,30.5,25.4,89,11.5,1.4,5,340,1,SE
27-04-2025,22,31.8,27.1,83,3.5,0,7,3,2,SE
28-04-2025,23.5,31.5,27.4,82,0,8,3,280,2,E
29-04-2025,24,31.6,27.8,87,0,8,3,290,1,SE
30-04-2025,22.4,32.6,28.1,84,0,7.7,4,310,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
