TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2024,24.6,27.8,26.1,93,4.6,5.9,6,330,1,C
02-12-2024,24.4,31.8,27.9,90,5,0,3,310,1,NW
03-12-2024,24.9,32.7,27.9,87,0,8,3,270,2,E
04-12-2024,24.5,29.8,26.9,89,3.6,7.8,4,330,1,E
05-12-2024,24.5,28.4,25.9,94,0.7,1.6,3,80,1,E
06-12-2024,24.2,30.4,26.6,90,55,0,4,300,1,E
07-12-2024,25,30.8,27.5,87,0.4,3.3,5,330,1,E
08-12-2024,24,32.4,28.3,83,8888,3.3,3,310,1,E
09-12-2024,24.8,31.4,27.9,90,0,6.6,3,300,2,E
10-12-2024,25.4,32.6,28.4,90,2.3,5.4,4,330,1,E
11-12-2024,25.1,31.6,28.5,88,0,7.3,3,310,1,E
12-12-2024,25,31.8,27.7,89,0.2,7.4,5,290,2,E
13-12-2024,24.6,31.6,28,86,8.1,2.6,3,310,1,E
14-12-2024,25,27.6,27.1,91,11.3,5.2,3,100,1,E
15-12-2024,23.9,31.2,27.8,85,3.3,0,3,310,1,NW
16-12-2024,24.5,31.2,27.7,86,0,7.6,4,320,2,E
17-12-2024,25.2,31.8,28.2,85,1.5,4.6,3,100,2,E
18-12-2024,25.7,31.4,27.9,86,0,5.3,3,100,1,E
19-12-2024,24.2,31.4,27.5,90,55.8,8,3,90,1,E
20-12-2024,24,33.8,29.6,82,8888,5.1,5,90,2,E
21-12-2024,24.8,34,29.1,83,0.4,7,3,330,1,NW
22-12-2024,24.6,32.8,28.4,83,3,5.8,7,300,1,SE
23-12-2024,24,32.8,29.9,76,0,4.7,3,300,2,NW
24-12-2024,24.2,32.5,28.3,85,0,8,5,280,2,NW
25-12-2024,25.2,30.4,26,95,2.4,5.3,5,10,2,E
26-12-2024,23.4,28.2,25.9,92,112.1,0.8,3,100,1,E
27-12-2024,23.6,30.8,26.5,87,38,0,5,300,2,E
28-12-2024,25,30,27.6,87,22.9,3.7,3,350,1,NW
29-12-2024,23.6,29.2,26.2,92,10.6,0.1,3,80,1,E
30-12-2024,23.8,32.6,27.3,86,2,0,4,320,2,E
31-12-2024,24,30.6,27.7,88,0,8,4,110,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
