TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-02-2025,24.5,29.2,25.8,94,0,5,4,300,1,E
02-02-2025,23.9,30.6,26.8,91,13.8,1.5,2,300,1,SE
03-02-2025,24.4,31.4,27.4,85,0,4.3,4,300,2,E
04-02-2025,24.6,30.8,27.4,89,2,1.2,3,180,1,S
05-02-2025,23.2,31.8,27.6,88,0,5.8,3,330,1,E
06-02-2025,24.6,31,27.2,88,8888,6.2,5,320,1,C
07-02-2025,24.3,31.2,27.4,89,0.5,2.1,3,280,1,SE
08-02-2025,24.8,32.4,28.1,86,0,2,4,320,2,E
09-02-2025,24.6,30.1,27.2,90,0.7,8,4,80,1,C
10-02-2025,24.2,32.6,27.4,88,0.5,0.4,3,340,1,NW
11-02-2025,25,27,24.8,96,0.3,7,20,320,3,E
12-02-2025,23,31.8,27.1,88,15.8,0.8,4,320,1,C
13-02-2025,25,28.2,26.4,91,0,7.4,3,100,1,SE
14-02-2025,24,31.8,27.3,88,7.3,0,3,110,1,E
15-02-2025,24,31.3,27.2,87,0,6.7,4,300,2,E
16-02-2025,23.7,31.7,27.2,85,0,3.7,3,80,2,NW
17-02-2025,24,31.4,26.8,91,8888,4.2,3,330,1,E
18-02-2025,23.4,30.4,25.7,92,12.9,0.2,4,110,1,SE
19-02-2025,23,30.8,26.1,90,31.7,0,3,300,1,SE
20-02-2025,23.8,31.7,26,89,1.5,1.8,3,300,2,E
21-02-2025,24,31.1,26.9,90,82.3,3.1,3,330,1,E
22-02-2025,24.2,30,26,92,0.1,0,3,100,2,E
23-02-2025,23.4,30.3,26.4,90,2.9,0.4,2,290,1,E
24-02-2025,23.8,32.2,27.6,87,0.5,0,3,310,1,C
25-02-2025,23.8,30.8,27.3,92,0.8,2.4,2,150,1,E
26-02-2025,24.4,29.5,26.2,94,8888,1.7,3,90,1,SE
27-02-2025,23.4,31.4,27.4,85,22.1,0.4,4,330,2,SE
28-02-2025,23.7,31.4,27.1,89,0,6.6,3,110,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
