TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2024,24.5,31.3,26.5,91,8.3,7.7,4,330,2,SE
02-07-2024,24,30.6,26.1,93,53.5,5.8,8,70,2,E 
03-07-2024,23,29.4,25.1,94,72.4,5.9,3,140,2,SE
04-07-2024,23.2,30.2,27.2,90,38.5,0,2,110,1,E 
05-07-2024,24.4,30.9,27,90,8888,0,3,150,2,SE
06-07-2024,23,31,27.2,90,1.5,7.1,3,140,1,C 
07-07-2024,25,30.1,26,93,0,2.9,3,360,1,SE
08-07-2024,-,30,-,-,-,-,3,160,1,E
09-07-2024,23.8,30.5,26.5,91,20,1.8,2,120,1,E
10-07-2024,23.7,30.4,25.8,94,5,2.3,4,90,1,E
11-07-2024,24.5,30.1,26.5,92,6.4,2.2,3,10,1,E
12-07-2024,22.8,30.8,26.5,91,8888,0,2,110,1,E
13-07-2024,24.2,31.8,26.5,90,0,3,4,320,1,C
14-07-2024,24.3,31.4,27.7,89,0.5,2.4,4,330,1,C
15-07-2024,21.4,31.8,27.8,91,0,8,3,310,1,E
16-07-2024,21.7,32.2,28.3,87,0,8,3,320,1,C
17-07-2024,25,32,28.4,86,18,8,4,320,1,E
18-07-2024,25.2,31.8,27.4,90,0,8,4,340,2,E
19-07-2024,24,32.2,27.8,88,3.5,7,5,320,2,SE
20-07-2024,24.8,32.6,27.8,93,0,8,3,310,1,SE
21-07-2024,21.6,32,28.4,89,8888,7.9,3,290,1,E
22-07-2024,22,32.2,27.3,90,8888,2.6,5,20,2,SE
23-07-2024,24,30.6,27.2,90,100.4,4.1,3,160,2,SE
24-07-2024,24.6,32.5,27.7,89,8888,0.1,3,360,1,E
25-07-2024,24.9,32.4,28.3,88,8888,3.7,3,330,2,SE
26-07-2024,24.8,32.5,28.7,90,0,8,3,300,1,E
27-07-2024,24.8,32.4,28.7,87,0,8,4,20,1,E
28-07-2024,24.5,31.2,28,87,0.1,8,3,270,2,SE
29-07-2024,25,32.3,28.6,87,0,6.2,5,360,2,E
30-07-2024,24.6,32.8,28.2,87,0,8,3,300,2,E
31-07-2024,25.2,32.4,28.1,87,0,8,3,150,1,SE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
