Unnamed: 0,ID WMO,:  97028,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Meteorologi Sultan Bantilan,,,,,,,,
,LINTANG,:  1.12114,,,,,,,,
,BUJUR,:  120.79433,,,,,,,,
,ELEVASI,:  8 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-06-2024,25,32.4,29.2,84,0.5,5.4,4,210,2,SE
02-06-2024,25.6,33,27.3,91,0,9.3,3,150,2,E 
03-06-2024,25.1,31.8,28.2,87,61.1,7,3,300,2,E 
04-06-2024,25.2,31,26.2,91,3.5,6.1,5,30,1,E 
05-06-2024,24.2,32,28.5,87,63.1,0.6,3,100,1,E 
06-06-2024,25.5,31.7,27.3,90,0,8,4,150,2,SE
07-06-2024,24,30.1,26.6,92,7.9,6,4,330,2,SE
08-06-2024,24.4,32,26.9,90,10.2,0.3,3,310,2,E 
09-06-2024,24.9,31.2,27.3,90,7.8,3,2,300,1,E 
10-06-2024,25,31.2,27,91,0.3,3.6,3,310,1,C 
11-06-2024,24.1,31.7,28.3,84,24,5.1,3,90,2,E 
12-06-2024,25.4,32,28.1,86,8888,7,3,320,1,E 
13-06-2024,25,31.8,27.5,88,8888,6.2,7,280,2,E 
14-06-2024,24.4,30.2,27.7,89,6,7.3,2,290,1,E 
15-06-2024,25.2,30.5,25.6,91,8888,0.7,6,160,2,SE
16-06-2024,24.2,31,28.4,86,27.3,2.3,4,310,1,NW
17-06-2024,25.4,31.6,27.8,88,0,5.3,3,150,2,E 
18-06-2024,24.9,31,28.3,88,1.6,6.6,3,20,2,E 
19-06-2024,25.6,30.7,27.6,90,0.2,4.5,3,140,1,E 
20-06-2024,24.8,31.3,28.2,89,1.6,0,4,340,2,SE
21-06-2024,22.6,32,27.7,89,1.5,8.2,3,90,1,E 
22-06-2024,25.4,30.8,26.7,92,14.8,3,2,290,1,E 
23-06-2024,24.5,29.4,25.9,93,23.7,3.6,2,140,1,E 
24-06-2024,24,26.5,24.5,97,108,0.3,3,290,1,E 
25-06-2024,23.6,31.2,27.3,90,19.5,0,3,290,2,SE
26-06-2024,24.4,30.2,26,94,1.7,6.9,3,170,1,SE
27-06-2024,24,31.2,27.1,90,8.7,1.1,4,320,2,SE
28-06-2024,24.8,30.6,27.5,91,13.1,5.7,3,80,1,E 
29-06-2024,23,31,26.8,92,1.6,4.5,4,140,2,SE
30-06-2024,23.9,31.2,26.9,92,5.6,5.7,4,100,1,SE
01-07-2024,24.5,31.3,26.5,91,8.3,7.7,4,330,2,SE
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
