TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2025,24,28.6,25.4,96,1,5.4,4,100,1,E
02-03-2025,23.8,30.7,27.4,89,57.1,1.3,2,310,1,SE
03-03-2025,24,32.7,27.5,89,0,5.3,4,320,1,SE
04-03-2025,23,31.8,27.3,87,0,8,4,320,2,SE
05-03-2025,24.4,31.6,26.4,90,0,4.4,3,260,2,E
06-03-2025,23.7,30.7,26.7,89,1.7,3.8,3,330,1,E
07-03-2025,24.3,31.4,26.7,93,8888,3,4,110,1,E
08-03-2025,24.6,30,25.4,96,1.2,3.6,3,330,1,SE
09-03-2025,23.6,29.4,25.9,90,95.8,2.1,2,110,1,E
10-03-2025,22.8,32.1,26.1,89,4.4,1.6,4,320,2,E
11-03-2025,24,30.2,26.1,93,8888,8,3,330,1,E
12-03-2025,23,31.3,26.9,91,8.2,4.3,3,80,1,E
13-03-2025,23.5,31,25.8,93,1.5,6.5,4,350,1,SE
14-03-2025,23.2,31.6,26.8,90,70,3.5,2,310,1,SE
15-03-2025,24,30.6,27,87,0,6.9,3,140,2,E
16-03-2025,23.7,31.7,26.6,89,0,6.9,5,310,2,NW
17-03-2025,23.7,29.2,25.6,94,119.6,4.1,3,260,1,E
18-03-2025,23.2,30.8,27.3,88,20.7,0,3,90,1,E
19-03-2025,24.3,31,27.5,89,2.3,6.7,3,110,1,C
20-03-2025,24.2,30.2,26.6,93,0.5,3.4,3,110,1,E
21-03-2025,25,26.2,25.4,90,6,4,4,80,2,E
22-03-2025,23.7,31.6,26.5,87,57,1.5,4,280,2,E
23-03-2025,23.3,31.4,26.7,86,42.4,0.8,3,330,1,E
24-03-2025,23.6,32,27.5,84,0.7,4.1,3,300,2,E
25-03-2025,23.4,28.8,26.2,89,3.4,7.7,4,300,1,SE
26-03-2025,23.6,32,27.3,86,8,1.1,3,310,1,NW
27-03-2025,24.4,32.3,27.9,86,0,8,4,320,2,NW
28-03-2025,24.1,33.3,28.9,83,0,7.5,4,330,2,E
29-03-2025,25,32.6,28.8,86,8888,8,4,330,1,E
30-03-2025,24,30.6,27.2,86,10,4.3,3,110,1,SE
31-03-2025,24.7,31,27.3,83,8888,1.1,2,300,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
