TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-11-2024,24.6,31.4,26.3,94,0,8,6,130,1,C
02-11-2024,23.6,32,27.7,86,8888,5.6,4,100,2,SE
03-11-2024,24.5,32.5,28.4,85,0,2,4,320,2,E
04-11-2024,24.6,32.4,28.7,82,0,8,3,290,2,E
05-11-2024,23.4,32.4,28.4,84,0,8,3,310,2,E
06-11-2024,24,32.2,28.2,82,0,7.3,3,300,1,NW
07-11-2024,23,31.6,27.8,90,14.9,7.2,3,310,1,SE
08-11-2024,22.7,31.8,28.2,85,0.5,5.2,3,90,2,E
09-11-2024,23.5,33,27.8,83,8888,7.9,4,90,2,E
10-11-2024,23.7,32,27.8,87,1.6,7.2,3,300,2,E
11-11-2024,23.7,32.2,28.4,84,8888,8,4,320,2,E
12-11-2024,24,32.2,27.7,87,0,6.8,3,110,2,E
13-11-2024,24.4,32.2,28.1,86,0,8,3,110,2,SE
14-11-2024,23.2,31.7,28.3,81,8888,6.1,4,80,1,E
15-11-2024,24.4,33,28.1,86,8888,7.5,4,330,2,SE
16-11-2024,24.4,32.6,27.9,87,8888,8,4,100,2,E
17-11-2024,23.6,32.2,28.4,89,17.5,5.3,3,300,1,E
18-11-2024,24.2,32,28,88,0,7.9,3,70,1,SE
19-11-2024,24,31.1,26.8,92,5.8,6,3,350,1,SE
20-11-2024,23.8,30.8,26.7,92,29.5,3.5,3,300,1,SE
21-11-2024,23.6,31.2,27,91,3.7,6.4,3,20,1,SE
22-11-2024,24.8,30.7,26.6,92,1.9,6.6,3,70,1,E
23-11-2024,24.2,30.9,26.9,92,2.6,6.1,3,90,1,NW
24-11-2024,24.5,30.6,26.9,91,10.5,5.7,3,320,1,E
25-11-2024,24.6,31.8,28.2,89,5.3,3.3,3,130,1,E
26-11-2024,24.2,30.8,26.2,94,8888,6.1,5,60,2,E
27-11-2024,23.9,32.2,26.8,91,20.1,3.4,4,100,1,SE
28-11-2024,24,31,25.7,93,7.6,6.7,4,80,2,E
29-11-2024,24,31.2,27,91,11.3,5.3,3,250,2,NW
30-11-2024,24.7,31.4,28.3,87,14.6,7.8,3,100,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
