TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2024,22.1,32.2,27.7,88,9999,0.6,3,320,2,E
02-09-2024,24,32.5,27.7,90,0,8,4,330,2,E
03-09-2024,25,31.6,26.3,96,1,6.8,4,110,2,E
04-09-2024,23,32.2,26.7,87,16.3,5.2,4,310,1,E
05-09-2024,23.7,31,26.9,92,0.3,3.1,4,110,1,SE
06-09-2024,22.4,32.4,27.3,91,8888,7.2,4,330,2,E
07-09-2024,22,31.8,26.2,93,8888,8,4,350,1,SE
08-09-2024,24,31.7,28.3,84,6.9,6.9,3,330,1,E
09-09-2024,24.9,31.7,27.1,92,0,8,5,90,2,E
10-09-2024,23.6,32.8,28.2,89,48.6,6.3,3,70,1,E
11-09-2024,23.8,32.8,28.1,87,0,8,3,320,1,C
12-09-2024,25,32.5,27.9,89,8888,7.8,2,290,1,E
13-09-2024,23.2,33.4,28.2,79,0,8,3,250,2,W
14-09-2024,22.6,33,26.9,84,0,8,3,300,1,E
15-09-2024,23,32.6,27.1,83,0,8,3,320,2,E
16-09-2024,23.8,33,28.5,83,0,8,4,310,2,SE
17-09-2024,24.2,33.6,28.2,88,0,8,3,310,2,SE
18-09-2024,24.2,32.7,28.6,87,0,8,5,320,2,E
19-09-2024,24,33.3,29.2,87,0,8,3,310,1,NW
20-09-2024,25,32.7,28.4,87,0,7.7,3,300,2,E
21-09-2024,26.2,30.2,26.8,92,4,5.6,5,300,1,E
22-09-2024,23,30.8,27.1,89,9.7,0,4,310,1,SE
23-09-2024,24.2,31.6,28.1,88,8888,1.7,2,290,1,SE
24-09-2024,23.8,32.4,28.3,88,8888,1.6,5,320,2,NW
25-09-2024,23,32.2,28,85,0,8,3,320,1,E
26-09-2024,24.5,30.5,27.4,88,22.1,6.7,3,310,1,E
27-09-2024,23.6,31.4,26.1,89,7.5,1.8,3,110,2,E
28-09-2024,23,32.2,27.9,87,20.4,5.7,3,330,1,SE
29-09-2024,23.8,31.6,27.5,88,0,6.5,3,320,1,E
30-09-2024,23.8,31.8,27.3,88,1.6,8,3,130,1,E
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
