TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-04-2025,24,31.6,26.7,86,18.3,2.4,2,250,1,W
02-04-2025,23.6,28.9,24.7,96,0.1,5.2,2,250,1,C
03-04-2025,22.4,31.6,25.8,88,53.2,0.8,2,60,1,W
04-04-2025,23.7,30.5,26.3,87,1,5.7,2,50,1,SW
05-04-2025,24.2,31.2,26.9,86,4.5,2.2,2,210,1,SW
06-04-2025,23.9,29.6,26.3,90,8888,5.5,2,230,0,C
07-04-2025,23.7,31.5,26.3,91,21.5,2.1,1,200,0,C
08-04-2025,23.6,31.2,27,85,34,5.6,4,50,1,C
09-04-2025,24,31.8,25.7,89,0.2,4.5,3,320,1,C
10-04-2025,23.4,29.9,26,88,8,2.6,3,240,1,C
11-04-2025,23.2,33,27.9,81,8888,4.4,4,170,1,W
12-04-2025,23.7,32,26.2,90,0,8,3,240,1,C
13-04-2025,23.6,31.2,26.7,88,8.7,5.1,2,150,0,C
14-04-2025,23.6,31.9,26.2,91,9.8,4.8,1,150,0,C
15-04-2025,24.2,32.6,26.6,89,56.8,5.2,2,260,1,C
16-04-2025,24.6,28.4,25.9,90,8.9,5.8,2,60,1,C
17-04-2025,21.6,32.6,26.9,83,23.8,1.7,2,240,1,C
18-04-2025,23.6,32.9,27.5,85,0,8,2,240,1,SW
19-04-2025,24.4,28.8,25.9,90,1.8,8,2,180,1,C
20-04-2025,23.6,31.6,27.1,83,45,1.8,3,280,1,C
21-04-2025,23.8,33.2,27.4,85,0,8,4,270,1,C
22-04-2025,24.7,32.2,28.2,79,8888,6.6,4,270,1,W
23-04-2025,23.2,29.4,25.2,90,12.7,8,2,230,0,C
24-04-2025,23.1,30.4,26.8,82,28.2,0,3,270,2,W
25-04-2025,23.9,31.8,26.9,85,0,8,3,260,2,W
26-04-2025,23.4,30,25.7,89,106.5,2.5,2,270,1,C
27-04-2025,23.4,32,26.4,86,13.2,0.2,2,180,1,C
28-04-2025,23.4,32,27,85,8888,4.4,4,240,1,C
29-04-2025,23.7,32.2,27,83,0,8,3,230,1,C
30-04-2025,23.2,31.8,26.8,85,0,4.5,3,250,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
