Unnamed: 0,ID WMO,:  97012,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Klimatologi Sulawesi Utara,,,,,,,,
,LINTANG,:  1.54585,,,,,,,,
,BUJUR,:  124.92330,,,,,,,,
,ELEVASI,:  84 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-12-2024,24.5,31.8,27.1,86,1,0,3,260,2,W
02-12-2024,24.2,29.6,25.4,93,5.5,8,3,250,1,W
03-12-2024,23.6,31.6,27.3,85,19.9,0.1,1,270,0,C
04-12-2024,23.8,31.4,26.7,90,8888,4.4,4,270,2,W
05-12-2024,24.2,31.2,26.2,90,12.7,7.2,3,40,1,W
06-12-2024,23.3,30.8,26.3,90,8.5,2.4,2,280,1,C
07-12-2024,23.6,30.3,26.4,89,20.1,1.1,2,270,0,C
08-12-2024,24.5,31,27,87,3,0.1,2,250,0,C
09-12-2024,24,33.6,27.7,87,7.5,2.2,3,260,1,C
10-12-2024,24.4,32,27.5,89,6.1,3.4,2,260,0,C
11-12-2024,25.3,32.4,26.7,93,2,0.7,3,150,0,C
12-12-2024,24,30,25.1,93,6.2,3.9,2,340,0,C
13-12-2024,23.5,31,26.7,89,93,1.6,2,260,1,W
14-12-2024,23.8,29.2,25.5,90,76.5,1,3,250,1,W
15-12-2024,23.6,29.8,25.1,93,0.6,0.1,2,270,1,W
16-12-2024,23,31.4,26.7,86,33.2,2.1,4,260,1,C
17-12-2024,24.8,31.8,29,78,0,8,4,270,2,W
18-12-2024,25.4,32,28.2,85,3.3,7.7,4,270,1,W
19-12-2024,24.2,31.6,27.7,89,19,5.6,3,260,1,W
20-12-2024,26,32.4,28.5,86,2.9,7.5,2,250,1,C
21-12-2024,25.1,32.4,28.6,86,13.5,8,2,270,1,W
22-12-2024,25.5,33.3,27.1,90,0,8,2,50,1,C
23-12-2024,23.4,33.2,27.7,85,32.7,3.2,3,220,1,C
24-12-2024,24,31,27.2,90,3.8,7.7,2,260,1,C
25-12-2024,24.5,31.2,26.1,88,8,0.7,5,260,2,W
26-12-2024,23.6,29.8,26.3,89,46.7,7.1,4,260,2,W
27-12-2024,24,30.8,25.7,88,16.8,0.8,3,260,1,C
28-12-2024,23.3,30.9,27,84,28,0.8,4,260,1,W
29-12-2024,24.8,30.6,26.6,91,2.1,1.8,4,270,1,W
30-12-2024,23.8,32.8,28,81,3.6,0,2,50,1,NE
31-12-2024,23.4,32.4,25.9,89,0,8,4,270,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
