01-02-2025,24.6,28.2,25.8,93,3.3,1.7,1,60,0,C
02-02-2025,23.6,27.7,24.8,93,7.7,0,1,290,0,C
03-02-2025,23,31.4,27.1,84,2.7,0,3,280,1,W
04-02-2025,24.8,31.4,27.3,86,1,2.6,2,270,1,C
05-02-2025,22.9,32.6,26.9,88,10.9,2.7,2,80,1,C
06-02-2025,24.4,30,25.4,94,22.5,3.6,1,170,0,C
07-02-2025,23,30.8,26.1,87,30.4,0,2,270,1,C
08-02-2025,24.5,31.4,27.5,86,8888,1.7,3,110,1,W
09-02-2025,24.4,30.6,26.8,87,2.4,4.7,2,270,1,C
10-02-2025,24.3,32.4,27.7,84,0.1,4.2,3,260,1,W
11-02-2025,22.8,31.8,25,88,37.4,8,2,240,1,W
12-02-2025,23.2,30.4,25.6,90,11.1,4,2,250,1,W
13-02-2025,24.2,31.6,27,86,3.2,0,4,250,1,W
14-02-2025,24.2,32.4,27.5,86,8888,8,4,340,1,C
15-02-2025,23.8,32,26.5,88,0.3,7.6,2,260,0,C
16-02-2025,23.8,33.2,25.8,94,0.2,3,2,260,1,C
17-02-2025,24.4,30.6,26.3,90,59.6,4.6,4,70,1,C
18-02-2025,23.4,30,25.8,89,2.9,0.4,2,270,1,C
19-02-2025,23.2,31.2,26.5,85,8888,1.5,2,340,0,C
20-02-2025,24.2,30.2,25.4,95,0,6.6,2,250,1,C
21-02-2025,24.2,29.4,25.6,92,20.6,2.7,3,260,1,W
22-02-2025,23.2,32.4,26.7,82,2.4,1.4,4,40,2,NE
23-02-2025,23.4,32,26.4,86,43.1,5,4,40,1,C
24-02-2025,23.4,31.8,26.8,81,6.1,3,3,90,1,NE
25-02-2025,23.9,31.2,26.6,88,0.1,6.1,4,90,1,C
26-02-2025,24.2,31.6,26.7,87,3.5,5.6,2,260,1,C
27-02-2025,23.2,31.8,26.4,86,7.8,6.3,3,310,1,W
28-02-2025,23.2,30.7,25.6,92,28.9,5.4,2,150,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
