Unnamed: 0,ID WMO,:  97012,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Klimatologi Sulawesi Utara,,,,,,,,
,LINTANG,:  1.54585,,,,,,,,
,BUJUR,:  124.92330,,,,,,,,
,ELEVASI,:  84 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-07-2024,24.4,29.4,27.6,82,19.3,3.9,2,240,1,C 
02-07-2024,23.8,32,27.7,82,0.1,0,1,170,0,C 
03-07-2024,23.5,30.4,27.3,85,1.2,3.6,3,170,1,C 
04-07-2024,23.8,30.4,27.1,84,14.7,5.5,3,240,0,C 
05-07-2024,23.6,32.4,27.9,81,0.5,1.4,3,260,0,C 
06-07-2024,23,31.2,28,82,7.8,5.5,2,80,0,C 
07-07-2024,23.4,33.2,28.7,77,2.9,6,3,150,1,C 
08-07-2024,-,30.6,-,-,-,-,2,140,1,C
09-07-2024,24,27.2,25.1,94,22.7,0.2,2,260,0,C
10-07-2024,23,30,25.9,89,13.1,0,2,270,1,C
11-07-2024,24,28.2,25.5,91,8888,2.3,1,230,0,C
12-07-2024,23.6,31.2,26.8,80,8888,0,2,270,1,C
13-07-2024,24.4,32,27.2,78,0,2.3,2,170,1,C
14-07-2024,23.2,32.5,27.6,68,7.5,5.2,4,180,2,S
15-07-2024,24.6,34.8,28.2,77,0,6.2,2,170,1,S
16-07-2024,24.6,33,28.2,71,0,7.1,4,160,2,S
17-07-2024,26.8,32,28.6,71,0,7.5,4,180,2,S
18-07-2024,25.7,32.2,28.6,65,3,8,10,100,4,S
19-07-2024,22.4,32.8,28.7,60,8888,8,5,170,4,S
20-07-2024,21.6,31.8,28.7,66,0,6,4,150,3,S
21-07-2024,22.4,32.6,29.1,65,0,6.5,6,180,4,S
22-07-2024,27.2,32.4,29.2,70,8888,2.3,5,180,3,SE
23-07-2024,23.2,30.6,26.2,82,13.4,6.7,7,340,2,S
24-07-2024,23.2,32.6,27.1,83,16.2,0.1,3,170,1,S
25-07-2024,20.7,33.4,28.3,76,0,4.5,3,120,1,S
26-07-2024,24.2,33.6,28.9,73,0,5.7,3,160,1,C
27-07-2024,24,33.8,28.7,77,0,8,3,250,1,SE
28-07-2024,24.4,33.4,27.6,80,0,8,2,90,1,C
29-07-2024,23.3,33,28.7,76,6.1,6.4,2,240,1,C
30-07-2024,22.8,33.8,28.2,73,8888,8,3,190,2,S
31-07-2024,24.3,33.4,28.5,77,0,8,3,250,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
