TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-03-2025,22.8,30.6,25.6,90,56.1,0.5,2,250,1,C
02-03-2025,23.1,31.8,26.8,85,28.7,3.3,2,270,1,SW
03-03-2025,23.1,32.2,26.6,84,4,3.5,3,70,1,SE
04-03-2025,23.4,31.2,25.8,92,1.8,6.4,2,110,0,C
05-03-2025,23.2,31,26.5,87,23.4,3.9,4,40,1,C
06-03-2025,24,30.4,25.7,92,3.2,2.8,2,250,1,C
07-03-2025,24.1,31.8,27.3,84,31.9,1.9,4,70,2,NE
08-03-2025,23.9,29.2,25.2,95,20.9,7.3,2,260,1,C
09-03-2025,23.6,29.6,26.2,88,55.7,1,2,260,1,W
10-03-2025,22.7,31.1,25.3,89,8888,3.5,5,60,2,NE
11-03-2025,23.8,32,24.9,93,1.4,3.9,3,70,1,C
12-03-2025,23.6,32,27.1,85,22.7,4.7,4,20,1,C
13-03-2025,23.7,31.6,26.8,87,8888,7.7,3,40,1,NE
14-03-2025,24,30.1,25.8,91,3.9,5.3,2,270,0,C
15-03-2025,24,31.8,27.5,84,9.3,1.7,1,200,1,C
16-03-2025,23.8,31.2,26.3,91,7.3,7,2,250,1,C
17-03-2025,24.4,31,27.3,84,29.5,1.4,3,280,1,W
18-03-2025,24.2,30.6,26.8,86,5.4,8,3,260,1,W
19-03-2025,24,31.6,25.4,92,8888,0.3,2,40,1,C
20-03-2025,23.4,30,25.7,90,34,2.7,3,250,1,C
21-03-2025,24.2,27.6,24.2,95,21.5,0.5,3,240,1,W
22-03-2025,23,25,23.6,96,231,0,3,250,1,W
23-03-2025,23.2,31,25.9,89,142.7,0,3,270,1,W
24-03-2025,24.4,30.2,26.1,91,4.3,3.5,3,260,1,C
25-03-2025,23.4,32.2,26.7,86,7.3,1.1,2,260,1,W
26-03-2025,24.6,32,27.8,84,8888,6.1,3,250,1,W
27-03-2025,23.7,33.2,28.3,83,8888,8,2,260,1,SW
28-03-2025,22.4,33.6,28.8,78,0,8,2,260,1,C
29-03-2025,22.2,33.2,26.9,86,0,8,3,170,1,S
30-03-2025,24.4,30,26.2,93,9.3,7.3,3,270,1,C
31-03-2025,23.4,31,25.8,91,12.9,0,2,250,1,W
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
