Unnamed: 0,ID WMO,:  97012,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Klimatologi Sulawesi Utara,,,,,,,,
,LINTANG,:  1.54585,,,,,,,,
,BUJUR,:  124.92330,,,,,,,,
,ELEVASI,:  84 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-05-2025,23.8,33.2,27,86,8888,6.6,3,50,1,S
02-05-2025,24,31.8,27.1,84,66,5.6,3,270,1,C
03-05-2025,24,32.4,28.1,81,4.5,4,2,50,1,C
04-05-2025,23.7,32.8,27.4,84,0,8,3,260,1,C
05-05-2025,23.6,32,27.2,84,43.5,6.2,3,150,1,C
06-05-2025,23.3,31.4,25.5,92,8888,6.4,2,270,1,C
07-05-2025,23,32.2,26.9,82,5.5,3.3,2,260,0,C
08-05-2025,22.8,33.6,28,78,0,5.2,2,60,1,C
09-05-2025,22.8,33.1,26.9,86,8888,6,3,230,1,C
10-05-2025,23,31.4,27,87,8888,5.9,2,230,1,SW
11-05-2025,23.3,32.8,27.2,84,0.5,3.4,2,260,1,C
12-05-2025,23.6,32,27.4,86,5,6,2,70,1,S
13-05-2025,23.7,31.5,27.3,85,8888,6.2,2,260,1,W
14-05-2025,23.3,32.4,27.4,82,10.8,3.7,2,270,1,C
15-05-2025,23.9,32.1,27,86,0.7,6.5,2,250,1,W
16-05-2025,25,30.6,27.7,84,8888,5.4,3,260,1,W
17-05-2025,24.6,32.1,27.9,85,0.4,3.8,2,90,1,E
18-05-2025,24.8,32,27.7,86,1.2,6.1,3,260,1,W
19-05-2025,24,33,27.3,85,9.8,6.6,3,260,1,S
20-05-2025,24.8,33,26.3,91,13.8,5.5,2,50,1,C
21-05-2025,24.2,29.8,26.1,90,3.8,4.8,3,270,1,W
22-05-2025,24.1,32.3,27.5,86,1.8,2.7,2,60,0,C
23-05-2025,23.8,32.9,25.9,91,8888,2.2,3,80,1,E
24-05-2025,23.5,33.2,26.1,92,0.8,3.7,2,160,1,S
25-05-2025,24.2,31,25.9,93,10.1,5.2,1,250,1,W
26-05-2025,23,32.4,27.8,80,38.1,2.4,2,40,1,C
27-05-2025,23.4,32.8,28.2,77,0,7.5,2,170,1,S
28-05-2025,23.5,33,28.7,77,8888,6.9,4,270,1,W
29-05-2025,24.4,32.2,25.4,91,8.9,8,3,140,0,C
30-05-2025,23.4,31.8,26.3,90,23.2,2.8,2,260,0,C
31-05-2025,24.2,32.4,26.8,86,41.6,6.9,2,250,1,SW
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
