TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-10-2024,23.4,31.6,26,89,0.6,4.9,2,150,1,C
02-10-2024,23.3,32.4,26.3,91,42.1,3.3,2,250,1,W
03-10-2024,23,31,26,87,11.5,2.6,2,150,1,C
04-10-2024,23.2,32,25.6,89,8888,5.6,3,130,1,C
05-10-2024,22.9,32,26.4,85,7.1,5.7,2,100,1,C
06-10-2024,23,32.2,25.3,90,2,3.4,2,260,1,C
07-10-2024,22.2,29.4,25.5,87,15.1,4,2,140,1,SE
08-10-2024,23.2,33.4,28.1,79,8888,0,2,170,1,C
09-10-2024,23.8,33.2,27.8,80,0.2,8,2,260,1,C
10-10-2024,23,32.4,27.1,83,11,7.3,3,320,1,C
11-10-2024,22.8,35,29.5,70,0,8,3,170,2,S
12-10-2024,24.5,33,28.3,82,2,8,3,260,1,C
13-10-2024,24,32.9,28.4,78,0,2,2,250,0,C
14-10-2024,23,32.8,28.3,78,8888,8,3,250,1,W
15-10-2024,23.2,32.9,26.9,85,8888,7.3,4,80,1,C
16-10-2024,23.4,31.8,25.7,92,50.6,3.6,3,170,1,C
17-10-2024,24,31.8,27,86,8.4,2.6,3,280,1,C
18-10-2024,23.2,30.2,25.1,94,1,5.4,3,260,1,C
19-10-2024,22.8,31.8,26.7,85,105.2,2.5,2,270,1,C
20-10-2024,23.2,32.3,27.5,82,0,6.4,3,150,1,SW
21-10-2024,23.4,32.2,27.6,86,27.1,7.8,3,270,1,SW
22-10-2024,24,35.4,29,75,15,6.6,3,250,1,C
23-10-2024,23.8,34.8,29.7,67,0,8,3,170,2,S
24-10-2024,23,35.4,29.3,63,0,8,3,230,1,S
25-10-2024,24.8,34.6,29.5,68,0,8,4,180,2,S
26-10-2024,23.6,33.6,28.7,78,8888,8,3,170,1,C
27-10-2024,24,32.4,27.9,80,0,7.7,4,40,1,C
28-10-2024,23,33.2,28.6,77,0,5.4,2,180,1,S
29-10-2024,22.8,34.4,28.2,73,8888,7.1,3,40,1,C
30-10-2024,24,34.4,28.8,74,0,7.9,2,230,1,C
31-10-2024,22,34.2,27.5,77,0,7.9,3,190,1,C
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum  (°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
