Unnamed: 0,ID WMO,:  97012,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,NAMA STASIUN,:  Stasiun Klimatologi Sulawesi Utara,,,,,,,,
,LINTANG,:  1.54585,,,,,,,,
,BUJUR,:  124.92330,,,,,,,,
,ELEVASI,:  84 Meter,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-09-2024,24,33.2,27.7,75,0,3,2,180,1,S
02-09-2024,25.8,33,28.7,64,3.4,5.1,3,150,2,S
03-09-2024,27.2,33.1,29.1,65,0,7.7,3,90,1,S
04-09-2024,23.5,34.2,28.6,71,8888,4.2,2,40,1,C
05-09-2024,22.4,34.2,27,78,0,5.6,3,170,1,S
06-09-2024,24.4,34.6,29.3,70,0,6.1,2,170,1,SE
07-09-2024,24.8,33,28.9,70,0,8,4,150,2,SE
08-09-2024,24.8,33.4,27.9,82,0.2,8,2,270,1,S
09-09-2024,22.8,33.8,28,77,8888,7.5,3,260,1,W
10-09-2024,23.1,33.4,28.4,73,8,8,3,160,1,E
11-09-2024,24,33.6,28.5,61,0,7.6,2,140,1,S
12-09-2024,26,33.6,29,73,0,8,3,150,2,SE
13-09-2024,26,33.9,29.5,57,0,7.1,5,120,3,S
14-09-2024,26.4,33,28.9,58,0,8,5,180,4,S
15-09-2024,25.1,34.6,28.8,65,0,8,4,180,2,S
16-09-2024,25.8,34.6,29.3,64,0,8,3,160,1,S
17-09-2024,26.2,35,30.3,61,0,8,3,180,2,S
18-09-2024,25.4,35.4,29.9,63,0,8,3,170,2,S
19-09-2024,24.9,34.2,29.9,69,0,8,3,220,1,S
20-09-2024,25.4,32.7,27.8,80,8888,5.1,5,120,2,S
21-09-2024,24.6,34,28.4,74,8888,0.1,3,90,1,C
22-09-2024,24.2,33.9,26.9,85,1.5,4.4,2,180,1,C
23-09-2024,23.8,33.6,28.1,77,3.8,7.4,3,60,1,SW
24-09-2024,23.2,33.2,27.7,81,0.8,6.7,2,280,1,E
25-09-2024,25,34.2,28.3,75,3.2,8,4,180,1,W
26-09-2024,23.5,31.8,25.7,89,27.9,4.5,2,220,0,C
27-09-2024,23.3,32.4,26.4,86,39.6,6.8,2,120,1,SE
28-09-2024,23.2,33.8,27.8,80,17.1,5.9,2,90,1,W
29-09-2024,23,33.4,29.8,68,8888,2,4,120,2,SE
30-09-2024,24.4,33.8,28,78,8888,8,4,170,1,S
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
KETERANGAN:,,,,,,,,,,
8888: Data tidak terukur,,,,,,,,,,
9999: Tidak Ada Data (tidak dilakukan pengukuran),,,,,,,,,,
Tn: Temperatur minimum	(°C),,,,,,,,,,
Tx: Temperatur maksimum(°C),,,,,,,,,,
Tavg: Temperatur rata-rata(°C),,,,,,,,,,
RH_avg: Kelembapan rata-rata(%),,,,,,,,,,
RR: Curah hujan(mm),,,,,,,,,,
ss: Lamanya penyinaran matahari(jam),,,,,,,,,,
ff_x: Kecepatan angin maksimum(m/s),,,,,,,,,,
ddd_x: Arah angin saat kecepatan maksimum(°),,,,,,,,,,
ff_avg: Kecepatan angin rata-rata(m/s),,,,,,,,,,
ddd_car: Arah angin terbanyak(°),,,,,,,,,,
